staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,staircase_loop.response,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,36.60875690006651,36.60875690006651,space,1.3992725999560207,,,,,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
0,0.05,0.5,,,,,38.131613000063226,41.14195960003417,[1],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
1,0.05,0.4456254690668728,,,,,41.657020700047724,44.67701310000848,[1],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
2,0.05,0.3971641173621408,,,,,45.17639210005291,48.19767010002397,[1],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
3,0.05,0.353972892192069,,,,,48.698250800021924,51.71956380002666,[0],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
4,0.05,0.3971641173621408,,,,,52.21261740010232,55.22496990009677,[1],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
5,0.05,0.353972892192069,,,,,55.729598300065845,58.7426985000493,[1],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
6,0.05,0.3154786722400967,,,,,59.243807200109586,62.25670510006603,[1],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
7,0.05,0.2811706625951746,,,,,62.763895200099796,65.7685763000045,[0],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
8,0.05,0.2811706625951746,,,,,66.28037870000117,69.28987430001143,[1],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
9,0.05,0.25059361681363623,,,,,69.7945576000493,72.79876220005099,[0],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
10,0.05,0.25059361681363623,,,,,73.30962070007809,76.32543210010044,[0],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
11,0.05,0.2811706625951746,,,,,76.82903500006068,79.83805390005,[0],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
12,0.05,0.2811706625951746,,,,,80.33924400003161,83.35952650010586,[0],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
13,0.05,0.3154786722400967,,,,,83.86106130003463,86.86937520001084,[0],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
14,0.05,0.3154786722400967,,,,,87.37664360005874,90.38847270002589,[1],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
15,0.05,0.2811706625951746,,,,,90.89362060010899,93.89990800002124,[0],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
16,0.05,0.2811706625951746,,,,,94.41069280006923,97.42146910005249,[1],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
17,0.05,0.25059361681363623,,,,,97.92901100008748,100.93710550002288,[1],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
18,0.05,0.22334179607548166,,,,,101.44447120011318,104.45502050011419,[1],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
19,0.05,0.19905358527674874,,,,,104.96058550011367,,[1],,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
,,,,,,,,,,,757455,001,3,2024-08-13_21h37.31.738,stimuli4,2022.2.5,59.9126712810037,
,,,,,,,,,0,,,,,,,,,
