opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,staircase_loop.response,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,50.87146729999222,50.87146729999222,space,3.739641699998174,,,,,,,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,0,0.005,-703116144.0,,,,,57.26693990000058,57.26693990000058,60.26892669999506,60.26892669999506,0,60.26892669999506,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,1,0.005,-703116143.995,,,,,62.89805180000258,62.89805180000258,65.9027672999946,65.9027672999946,0,65.9027672999946,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,2,0.005,-703116143.99,,,,,68.44730349999736,68.44730349999736,71.45102470001439,71.45102470001439,0,71.45102470001439,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,3,0.005,-703116143.985,,,,,74.02595790001214,74.02595790001214,77.02852859999985,77.02852859999985,0,77.02852859999985,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,4,0.005,-703116143.98,,,,,79.64289089999511,79.64289089999511,82.64819470001385,82.64819470001385,0,82.64819470001385,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,5,0.005,-703116143.975,,,,,85.28731820001849,85.28731820001849,88.2914746000024,88.2914746000024,0,88.2914746000024,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,6,0.005,-703116143.97,,,,,90.89036350001697,90.89036350001697,93.89445379999233,93.89445379999233,0,93.89445379999233,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,7,0.005,-703116143.965,,,,,96.54191800000262,96.54191800000262,99.54085660001147,99.54085660001147,0,99.54085660001147,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,8,0.005,-703116143.96,,,,,102.17647720000241,102.17647720000241,105.18220810001367,105.18220810001367,0,105.18220810001367,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,9,0.005,-703116143.955,,,,,107.80307399999583,107.80307399999583,110.81064979999792,110.81064979999792,0,110.81064979999792,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,10,0.005,-703116143.95,,,,,113.39120899999398,113.39120899999398,116.39776950000669,116.39776950000669,0,116.39776950000669,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,11,0.005,-703116143.945,,,,,118.96158350000042,118.96158350000042,121.96086260001175,121.96086260001175,0,121.96086260001175,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,12,0.005,-703116143.94,,,,,124.54555619999883,124.54555619999883,127.54780170001322,127.54780170001322,0,127.54780170001322,130.1459470000118,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
0,0,0,0,13,0.005,-703116143.9350001,,,,,130.1459470000118,130.1459470000118,133.15076720001525,133.15076720001525,0,133.15076720001525,,833417,001,3,2024-06-29_12h39.52.059,stimuli4,2022.2.5,164.00271589229055,
,,,,,,,,,,,135.75882680001087,135.75882680001087,,,,,,,,,,,,,
