ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,polygon_3.started,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,38.85366340004839,38.85366340004839,space,0.4968424999387935,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
0,0,0,0,0,0,0,0,,,,,0.3760603093086394,0.5,40.345545900054276,40.345545900054276,43.3461867000442,43.3461867000442,,43.3461867000442,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
0,0,0,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
1,0,1,0,0,0,0,0,,,,,0.1414213562373095,0.5,44.37329909997061,44.37329909997061,47.37631269998383,47.37631269998383,,47.37631269998383,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
1,0,1,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
2,0,2,0,0,0,0,0,,,,,0.3760603093086394,0.5,48.434600400039926,48.434600400039926,51.43685860000551,51.43685860000551,,51.43685860000551,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
2,0,2,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
3,0,3,0,0,0,0,0,,,,,0.020000000000000004,0.5,52.48374990001321,52.48374990001321,55.48845469998196,55.48845469998196,,55.48845469998196,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
3,0,3,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
4,0,4,0,0,0,0,0,,,,,1.0,0.5,56.46449409995694,56.46449409995694,59.463671699981205,59.463671699981205,,59.463671699981205,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
4,0,4,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
5,0,5,0,0,0,0,0,,,,,0.05318295896944989,0.5,60.53307060000952,60.53307060000952,63.53496930003166,63.53496930003166,,63.53496930003166,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
5,0,5,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
