ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,polygon_3.started,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
6,0,6,0,0,0,0,0,,,,,1.0,0.5,64.58756330003962,64.58756330003962,67.58832540002186,67.58832540002186,,67.58832540002186,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
6,0,6,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
7,0,7,0,0,0,0,0,,,,,0.1414213562373095,0.5,68.56567989999894,68.56567989999894,71.56999099999666,71.56999099999666,,71.56999099999666,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
7,0,7,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
8,0,8,0,0,0,0,0,,,,,0.05318295896944989,0.5,72.63256529998034,72.63256529998034,75.63415329996496,75.63415329996496,,75.63415329996496,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
8,0,8,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
9,0,9,0,0,0,0,0,,,,,0.1414213562373095,0.5,76.70820260001346,76.70820260001346,79.71284589997958,79.71284589997958,,79.71284589997958,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
9,0,9,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
10,0,10,0,0,0,0,0,,,,,0.020000000000000004,0.5,80.75818280002568,80.75818280002568,83.76007670001127,83.76007670001127,,83.76007670001127,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
10,0,10,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
11,0,11,0,0,0,0,0,,,,,0.05318295896944989,0.5,84.73345629998948,84.73345629998948,87.73384510003962,87.73384510003962,,87.73384510003962,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
11,0,11,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
12,0,12,0,0,0,0,0,,,,,0.1414213562373095,0.5,88.68974179995712,88.68974179995712,91.69086259999312,91.69086259999312,,91.69086259999312,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
12,0,12,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
13,0,13,0,0,0,0,0,,,,,0.020000000000000004,0.5,92.66074930003379,92.66074930003379,95.66511669999454,95.66511669999454,,95.66511669999454,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
13,0,13,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
14,0,14,0,0,0,0,0,,,,,1.0,0.5,96.74751679995097,96.74751679995097,99.75091389997397,99.75091389997397,,99.75091389997397,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
14,0,14,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
15,0,15,0,0,0,0,0,,,,,1.0,0.5,100.80251369997859,100.80251369997859,103.80230340000708,103.80230340000708,,103.80230340000708,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
15,0,15,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
16,0,16,0,0,0,0,0,,,,,0.05318295896944989,0.5,104.85843939997721,104.85843939997721,107.86196799995378,107.86196799995378,,107.86196799995378,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
16,0,16,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
17,0,17,0,0,0,0,0,,,,,0.3760603093086394,0.5,108.84105209994595,108.84105209994595,111.84296100004576,111.84296100004576,,111.84296100004576,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
17,0,17,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
18,0,18,0,0,0,0,0,,,,,0.020000000000000004,0.5,112.8977590999566,112.8977590999566,115.9017548999982,115.9017548999982,,115.9017548999982,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
18,0,18,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
19,0,19,0,0,0,0,0,,,,,0.3760603093086394,0.5,116.94899169995915,116.94899169995915,119.95041419996414,119.95041419996414,,119.95041419996414,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
19,0,19,0,,,,,,,,,,,,,,,,,103717,001,3,2024-06-08_15h05.19.946,stimuli3,2022.2.5,166.1248227793391,
