opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,opt2.thisRepN,opt2.thisTrialN,opt2.thisN,opt2.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,staircase_loop.response,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,39.52779379999265,39.52779379999265,space,0.7621612999937497,,,,,,,,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,0,0.005,0.5,,,,,,,,,,,46.45726779999677,46.45726779999677,49.46794050000608,49.46794050000608,1,49.46794050000608,55.556473699980415,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,1,0.005,0.495,,,,,,,,,,,55.556473699980415,55.556473699980415,58.56774770002812,58.56774770002812,1,58.56774770002812,64.74576329998672,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,2,0.005,0.49,,,,,,,,,,,64.74576329998672,64.74576329998672,67.75063760002377,67.75063760002377,0,67.75063760002377,73.801188500016,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,3,0.005,0.495,,,,,,,,,,,73.801188500016,73.801188500016,76.80076660000486,76.80076660000486,0,76.80076660000486,83.25570690003224,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,4,0.005,0.495,,,,,,,,,,,83.25570690003224,83.25570690003224,86.26693949999753,86.26693949999753,1,86.26693949999753,92.30466510000406,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,5,0.005,0.49,,,,,,,,,,,92.30466510000406,92.30466510000406,95.3166818000027,95.3166818000027,0,95.3166818000027,101.2793023000122,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,6,0.005,0.49,,,,,,,,,,,101.2793023000122,101.2793023000122,104.28313779999735,104.28313779999735,0,104.28313779999735,110.4408518000273,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,7,0.005,0.495,,,,,,,,,,,110.4408518000273,110.4408518000273,113.44977350003319,113.44977350003319,1,113.44977350003319,119.50173120002728,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,8,0.005,0.49,,,,,,,,,,,119.50173120002728,119.50173120002728,122.51600030000554,122.51600030000554,0,122.51600030000554,128.58549720002338,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,9,0.005,0.49,,,,,,,,,,,128.58549720002338,128.58549720002338,131.59920920000877,131.59920920000877,1,131.59920920000877,137.88235830003396,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,10,0.005,0.485,,,,,,,,,,,137.88235830003396,137.88235830003396,140.88248530001147,140.88248530001147,0,140.88248530001147,147.0435918000294,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,11,0.005,0.485,,,,,,,,,,,147.0435918000294,147.0435918000294,150.0485998999793,150.0485998999793,1,150.0485998999793,156.20584710000549,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,12,0.005,0.48,,,,,,,,,,,156.20584710000549,156.20584710000549,159.21512900001835,159.21512900001835,1,159.21512900001835,165.55931699997745,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,13,0.005,0.475,,,,,,,,,,,165.55931699997745,165.55931699997745,168.56482420000248,168.56482420000248,0,168.56482420000248,174.65419119998114,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,14,0.005,0.475,,,,,,,,,,,174.65419119998114,174.65419119998114,177.66456669999752,177.66456669999752,1,177.66456669999752,183.75292190001346,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,15,0.005,0.47,,,,,,,,,,,183.75292190001346,183.75292190001346,186.76433350000298,186.76433350000298,0,186.76433350000298,192.76440970000112,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,16,0.005,0.47,,,,,,,,,,,192.76440970000112,192.76440970000112,195.7638157000183,195.7638157000183,0,195.7638157000183,201.73521000001347,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,17,0.005,0.475,,,,,,,,,,,201.73521000001347,201.73521000001347,204.7472243999946,204.7472243999946,1,204.7472243999946,210.89705830003368,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,18,0.005,0.47,,,,,,,,,,,210.89705830003368,210.89705830003368,213.89714790001744,213.89714790001744,1,213.89714790001744,219.96892870002193,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,19,0.005,0.46499999999999997,,,,,,,,,,,219.96892870002193,219.96892870002193,222.9799358000164,222.9799358000164,0,222.9799358000164,223.48022099997615,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,583859,001,3,2024-07-27_16h31.25.419,stimuli4,2022.2.5,60.1793706388172,
