ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,49.54498739994597,49.54498739994597,space,0.4371405999409035,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
0,0,0,0,0,0,0,0,,,,,0.1414213562373095,0.5,50.101876299944706,50.101876299944706,53.14260210003704,53.14260210003704,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
0,0,0,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
1,0,1,0,0,0,0,0,,,,,0.3760603093086394,0.5,53.14260210003704,53.14260210003704,56.17413810000289,56.17413810000289,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
1,0,1,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
2,0,2,0,0,0,0,0,,,,,0.3760603093086394,0.5,56.17413810000289,56.17413810000289,59.21052540000528,59.21052540000528,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
2,0,2,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
3,0,3,0,0,0,0,0,,,,,0.05318295896944989,0.5,59.21052540000528,59.21052540000528,62.27247480000369,62.27247480000369,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
3,0,3,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
4,0,4,0,0,0,0,0,,,,,0.1414213562373095,0.5,62.27247480000369,62.27247480000369,65.31810190004762,65.31810190004762,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
4,0,4,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
5,0,5,0,0,0,0,0,,,,,0.05318295896944989,0.5,65.31810190004762,65.31810190004762,68.35425600002054,68.35425600002054,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
5,0,5,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
6,0,6,0,0,0,0,0,,,,,0.020000000000000004,0.5,68.35425600002054,68.35425600002054,71.40307300002314,71.40307300002314,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
6,0,6,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
7,0,7,0,0,0,0,0,,,,,0.1414213562373095,0.5,71.40307300002314,71.40307300002314,74.44514870003331,74.44514870003331,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
7,0,7,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
8,0,8,0,0,0,0,0,,,,,0.05318295896944989,0.5,74.44514870003331,74.44514870003331,77.48357859998941,77.48357859998941,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
8,0,8,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
9,0,9,0,0,0,0,0,,,,,0.3760603093086394,0.5,77.48357859998941,77.48357859998941,80.517680299934,80.517680299934,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
9,0,9,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
10,0,10,0,0,0,0,0,,,,,1.0,0.5,80.517680299934,80.517680299934,83.54944930004422,83.54944930004422,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
10,0,10,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
11,0,11,0,0,0,0,0,,,,,0.1414213562373095,0.5,83.54944930004422,83.54944930004422,86.58237169997301,86.58237169997301,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
11,0,11,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
12,0,12,0,0,0,0,0,,,,,0.05318295896944989,0.5,86.58237169997301,86.58237169997301,89.63001189997885,89.63001189997885,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
12,0,12,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
13,0,13,0,0,0,0,0,,,,,0.020000000000000004,0.5,89.63001189997885,89.63001189997885,92.67675630003214,92.67675630003214,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
13,0,13,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
14,0,14,0,0,0,0,0,,,,,0.020000000000000004,0.5,92.67675630003214,92.67675630003214,95.7033576000249,95.7033576000249,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
14,0,14,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
15,0,15,0,0,0,0,0,,,,,0.020000000000000004,0.5,95.7033576000249,95.7033576000249,98.73545169993304,98.73545169993304,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
15,0,15,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
16,0,16,0,0,0,0,0,,,,,1.0,0.5,98.73545169993304,98.73545169993304,101.75458009995054,101.75458009995054,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
16,0,16,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
17,0,17,0,0,0,0,0,,,,,1.0,0.5,101.75458009995054,101.75458009995054,104.78780529997312,104.78780529997312,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
17,0,17,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
18,0,18,0,0,0,0,0,,,,,1.0,0.5,104.78780529997312,104.78780529997312,107.83097909996286,107.83097909996286,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
18,0,18,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
19,0,19,0,0,0,0,0,,,,,0.3760603093086394,0.5,107.83097909996286,107.83097909996286,219.1984106999589,219.1984106999589,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
19,0,19,0,,,,,,,,,,,,,,,,,536709,001,3,2024-08-13_00h41.58.698,stimuli3,2022.2.5,59.9344317208383,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,
