5.7876 	WARNING 	Speech-to-text recognition module for PocketSphinx is not available (use command `pip install SpeechRecognition` to get it). Transcription will be unavailable using that service this session.
45.8152 	EXP 	GA: autoDraw = True
45.8152 	EXP 	text_4: autoDraw = True
45.8152 	EXP 	GA: tex = 'sqr'
45.8152 	EXP 	GA: tex = 'sqr'
48.8112 	EXP 	New trial (rep=1, index=0): None
48.8121 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
48.8124 	EXP 	New trial (rep=0, index=0): None
48.8815 	EXP 	GA: autoDraw = False
48.8815 	EXP 	GA: autoDraw = False
48.8815 	EXP 	text_4: autoDraw = False
48.8815 	EXP 	GA: autoDraw = False
48.8815 	EXP 	GA: autoDraw = False
48.8815 	EXP 	text_4: autoDraw = False
48.8815 	EXP 	GA: sf = array([1., 1.])
48.8815 	EXP 	GA: sf = array([1., 1.])
48.8815 	EXP 	GA: phase = array([0.2575, 0.2575])
48.8815 	EXP 	text_3: height = 0.05
48.8815 	EXP 	text_3: height = 0.05
48.8815 	EXP 	text_3: height = 0.05
48.8815 	EXP 	text_3: text = 'Spatial frequency: 1.000\nContrast: 1.000\nPhase: 0.258'
48.8815 	EXP 	text_4: height = 0.05
48.8815 	EXP 	text_4: height = 0.05
48.8815 	EXP 	text_4: height = 0.05
48.8815 	EXP 	text_4: text = 'Spatial frequency: 1.000\nContrast: 1.000\nPhase: 0.258'
48.8815 	EXP 	GA: autoDraw = True
48.8815 	EXP 	GA: autoDraw = True
48.8815 	EXP 	text_4: autoDraw = True
48.8815 	EXP 	GA: tex = 'sqr'
48.8815 	EXP 	GA: tex = 'sqr'
51.8781 	EXP 	New trial (rep=2, index=0): None
51.8793 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
51.8796 	EXP 	New trial (rep=0, index=0): None
51.9377 	EXP 	GA: autoDraw = False
51.9377 	EXP 	GA: autoDraw = False
51.9377 	EXP 	text_4: autoDraw = False
51.9377 	EXP 	GA: autoDraw = False
51.9377 	EXP 	GA: autoDraw = False
51.9377 	EXP 	text_4: autoDraw = False
51.9377 	EXP 	GA: sf = array([1., 1.])
51.9377 	EXP 	GA: sf = array([1., 1.])
51.9377 	EXP 	GA: phase = array([0.7525, 0.7525])
51.9377 	EXP 	text_3: height = 0.05
51.9377 	EXP 	text_3: height = 0.05
51.9377 	EXP 	text_3: height = 0.05
51.9377 	EXP 	text_3: text = 'Spatial frequency: 1.000\nContrast: 1.000\nPhase: 0.752'
51.9377 	EXP 	text_4: height = 0.05
51.9377 	EXP 	text_4: height = 0.05
51.9377 	EXP 	text_4: height = 0.05
51.9377 	EXP 	text_4: text = 'Spatial frequency: 1.000\nContrast: 1.000\nPhase: 0.752'
51.9377 	EXP 	GA: autoDraw = True
51.9377 	EXP 	GA: autoDraw = True
51.9377 	EXP 	text_4: autoDraw = True
51.9377 	EXP 	GA: tex = 'sqr'
51.9377 	EXP 	GA: tex = 'sqr'
54.9276 	EXP 	New trial (rep=3, index=0): None
54.9287 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
54.9289 	EXP 	New trial (rep=0, index=0): None
54.9796 	EXP 	GA: autoDraw = False
54.9796 	EXP 	GA: autoDraw = False
54.9796 	EXP 	text_4: autoDraw = False
54.9796 	EXP 	GA: autoDraw = False
54.9796 	EXP 	GA: autoDraw = False
54.9796 	EXP 	text_4: autoDraw = False
54.9796 	EXP 	GA: sf = array([1., 1.])
54.9796 	EXP 	GA: sf = array([1., 1.])
54.9796 	EXP 	GA: phase = array([0.7525, 0.7525])
54.9796 	EXP 	text_3: text = 'Spatial frequency: 1.000\nContrast: 1.000\nPhase: 0.752'
54.9796 	EXP 	text_4: text = 'Spatial frequency: 1.000\nContrast: 1.000\nPhase: 0.752'
54.9796 	EXP 	GA: autoDraw = True
54.9796 	EXP 	GA: autoDraw = True
54.9796 	EXP 	text_4: autoDraw = True
54.9796 	EXP 	GA: tex = 'sqr'
54.9796 	EXP 	GA: tex = 'sqr'
57.9787 	EXP 	New trial (rep=4, index=0): None
57.9800 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
57.9802 	EXP 	New trial (rep=0, index=0): None
58.0758 	EXP 	GA: autoDraw = False
58.0758 	EXP 	GA: autoDraw = False
58.0758 	EXP 	text_4: autoDraw = False
58.0758 	EXP 	GA: autoDraw = False
58.0758 	EXP 	GA: autoDraw = False
58.0758 	EXP 	text_4: autoDraw = False
58.0758 	EXP 	GA: sf = array([1., 1.])
58.0758 	EXP 	GA: sf = array([1., 1.])
58.0758 	EXP 	GA: phase = array([0.2575, 0.2575])
58.0758 	EXP 	text_3: height = 0.05
58.0758 	EXP 	text_3: height = 0.05
58.0758 	EXP 	text_3: height = 0.05
58.0758 	EXP 	text_3: text = 'Spatial frequency: 1.000\nContrast: 1.000\nPhase: 0.258'
58.0758 	EXP 	text_4: height = 0.05
58.0758 	EXP 	text_4: height = 0.05
58.0758 	EXP 	text_4: height = 0.05
58.0758 	EXP 	text_4: text = 'Spatial frequency: 1.000\nContrast: 1.000\nPhase: 0.258'
58.0758 	EXP 	GA: autoDraw = True
58.0758 	EXP 	GA: autoDraw = True
58.0758 	EXP 	text_4: autoDraw = True
58.0758 	EXP 	GA: tex = 'sqr'
58.0758 	EXP 	GA: tex = 'sqr'
61.0624 	EXP 	New trial (rep=5, index=0): None
61.0635 	EXP 	Created sequence: random, trialTypes=1, nReps=1, seed=None
61.0637 	EXP 	New trial (rep=0, index=0): None
61.1198 	EXP 	GA: autoDraw = False
61.1198 	EXP 	GA: autoDraw = False
61.1198 	EXP 	text_4: autoDraw = False
61.1198 	EXP 	GA: autoDraw = False
61.1198 	EXP 	GA: autoDraw = False
61.1198 	EXP 	text_4: autoDraw = False
