staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,staircase_loop.response,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,36.940201099961996,36.940201099961996,space,1.0634412999497727,,,,,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
0,0.05,0.5,,,,,38.17831039999146,41.20056809997186,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
1,0.05,0.4456254690668728,,,,,41.69634260004386,44.71706799999811,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
2,0.05,0.3971641173621408,,,,,45.21531949995551,48.232537399977446,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
3,0.05,0.353972892192069,,,,,48.72938549995888,51.770139900036156,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
4,0.05,0.3154786722400967,,,,,52.25306470005307,55.27491509995889,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
5,0.05,0.2811706625951746,,,,,55.76478730002418,58.78227079997305,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
6,0.05,0.25059361681363623,,,,,59.28108800004702,62.294189600041136,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
7,0.05,0.22334179607548166,,,,,62.7968036000384,65.81361309997737,[0],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
8,0.05,0.25059361681363623,,,,,66.31734559999313,69.32144580001477,[0],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
9,0.05,0.25059361681363623,,,,,69.82719530002214,72.84956939995755,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
10,0.05,0.22334179607548166,,,,,73.34711039997637,76.36292590002995,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
11,0.05,0.19905358527674874,,,,,76.86994280002546,79.89726690005045,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
12,0.05,0.17740669461678785,,,,,80.39590610004961,83.4112164999824,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
13,0.05,0.15811388300841908,,,,,83.91178229998332,86.92030780005734,[0],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
14,0.05,0.15811388300841908,,,,,87.42726310004946,90.44222490000539,[0],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
15,0.05,0.17740669461678785,,,,,90.945339399972,93.96209719998296,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
16,0.05,0.15811388300841908,,,,,94.4621336000273,97.47188900003675,[0],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
17,0.05,0.15811388300841908,,,,,97.97994490002748,100.99104620004073,[0],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
18,0.05,0.17740669461678785,,,,,101.4957622999791,104.50860900001135,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
19,0.05,0.15811388300841908,,,,,105.01612140005454,108.00874289998319,[1],,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
,,,,,,,,,,,276056,001,3,2024-08-15_13h45.49.770,stimuli4,2022.2.5,60.00463233700581,
