ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,polygon_3.started,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,53.87349040003028,53.87349040003028,space,0.6557494999142364,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
0,0,0,0,0,0,0,0,,,,,0.020000000000000004,0.5,55.46734530001413,55.46734530001413,58.473858800018206,58.473858800018206,,58.473858800018206,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
0,0,0,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
1,0,1,0,0,0,0,0,,,,,0.05318295896944989,0.5,59.48938579997048,59.48938579997048,62.488934400025755,62.488934400025755,,62.488934400025755,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
1,0,1,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
2,0,2,0,0,0,0,0,,,,,1.0,0.5,63.46789740002714,63.46789740002714,66.46893640002236,66.46893640002236,,66.46893640002236,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
2,0,2,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
3,0,3,0,0,0,0,0,,,,,0.3760603093086394,0.5,67.43756109999958,67.43756109999958,70.43704909994267,70.43704909994267,,70.43704909994267,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
3,0,3,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
4,0,4,0,0,0,0,0,,,,,1.0,0.5,71.49096670001745,71.49096670001745,74.49100149993319,74.49100149993319,,74.49100149993319,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
4,0,4,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
5,0,5,0,0,0,0,0,,,,,0.1414213562373095,0.5,75.4700730999466,75.4700730999466,78.4711770999711,78.4711770999711,,78.4711770999711,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
5,0,5,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
6,0,6,0,0,0,0,0,,,,,0.020000000000000004,0.5,79.53869960003067,79.53869960003067,82.54270009999163,82.54270009999163,,82.54270009999163,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
6,0,6,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
7,0,7,0,0,0,0,0,,,,,1.0,0.5,83.62169299996458,83.62169299996458,86.62664229993243,86.62664229993243,,86.62664229993243,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
7,0,7,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
8,0,8,0,0,0,0,0,,,,,0.05318295896944989,0.5,87.66267170000356,87.66267170000356,90.66353949997574,90.66353949997574,,90.66353949997574,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
8,0,8,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
9,0,9,0,0,0,0,0,,,,,0.3760603093086394,0.5,91.72756819997448,91.72756819997448,94.73471500002779,94.73471500002779,,94.73471500002779,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
9,0,9,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
10,0,10,0,0,0,0,0,,,,,0.05318295896944989,0.5,95.71143699996173,95.71143699996173,98.71437850000802,98.71437850000802,,98.71437850000802,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
10,0,10,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
11,0,11,0,0,0,0,0,,,,,0.020000000000000004,0.5,99.7580825999612,99.7580825999612,102.76217689993791,102.76217689993791,,102.76217689993791,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
11,0,11,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
12,0,12,0,0,0,0,0,,,,,0.1414213562373095,0.5,103.76238279999234,103.76238279999234,106.76757160003763,106.76757160003763,,106.76757160003763,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
12,0,12,0,,,,,,,,,,,,,,,,,267152,001,3,2024-06-08_17h27.11.685,stimuli3,2022.2.5,173.9835444827075,
