ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,polygon_3.started,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
13,0,13,0,0,0,0,0,,,,,0.020000000000000004,0.5,73.75938609999139,73.75938609999139,76.7624494000338,76.7624494000338,,76.7624494000338,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
13,0,13,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
14,0,14,0,0,0,0,0,,,,,0.020000000000000004,0.5,77.27133190003224,77.27133190003224,80.27106900000945,80.27106900000945,,80.27106900000945,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
14,0,14,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
15,0,15,0,0,0,0,0,,,,,0.1414213562373095,0.5,80.78335310006514,80.78335310006514,83.78395330009516,83.78395330009516,,83.78395330009516,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
15,0,15,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
16,0,16,0,0,0,0,0,,,,,1.0,0.5,84.30000290006865,84.30000290006865,87.30414140003268,87.30414140003268,,87.30414140003268,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
16,0,16,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
17,0,17,0,0,0,0,0,,,,,0.1414213562373095,0.5,87.81931910000276,87.81931910000276,90.81826750002801,90.81826750002801,,90.81826750002801,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
17,0,17,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
18,0,18,0,0,0,0,0,,,,,0.3760603093086394,0.5,91.33017030009069,91.33017030009069,94.3324481000891,94.3324481000891,,94.3324481000891,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
18,0,18,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
19,0,19,0,0,0,0,0,,,,,0.05318295896944989,0.5,94.84711880004033,94.84711880004033,97.84665870002937,97.84665870002937,,97.84665870002937,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
19,0,19,0,,,,,,,,,,,,,,,,,205897,001,3,2024-06-08_13h35.14.746,stimuli3,2022.2.5,167.49549016421165,
