ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,37.291428499971516,37.291428499971516,space,0.5476771999383345,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
0,0,0,0,0,0,0,0,,,,,1.0,1.0,0.505,38.004720099968836,41.0618026999291,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
0,0,0,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
1,0,1,0,0,0,0,0,,,,,1.0,1.0,0.7525,41.0618026999291,44.12005379993934,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
1,0,1,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
2,0,2,0,0,0,0,0,,,,,1.0,1.0,0.01,44.12005379993934,47.16699339996558,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
2,0,2,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
3,0,3,0,0,0,0,0,,,,,1.0,1.0,0.505,47.16699339996558,50.21140409994405,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
3,0,3,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
4,0,4,0,0,0,0,0,,,,,1.0,1.0,0.505,50.21140409994405,53.27128410001751,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
4,0,4,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
5,0,5,0,0,0,0,0,,,,,1.0,1.0,0.01,53.27128410001751,56.326967599918135,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
5,0,5,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
6,0,6,0,0,0,0,0,,,,,1.0,1.0,0.2575,56.326967599918135,59.37447019992396,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
6,0,6,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
7,0,7,0,0,0,0,0,,,,,1.0,1.0,1.0,59.37447019992396,62.41951349994633,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
7,0,7,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
8,0,8,0,0,0,0,0,,,,,1.0,1.0,0.2575,62.41951349994633,65.47009730001446,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
8,0,8,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
9,0,9,0,0,0,0,0,,,,,1.0,1.0,0.01,65.47009730001446,68.52357920003124,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
9,0,9,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
10,0,10,0,0,0,0,0,,,,,1.0,1.0,1.0,68.52357920003124,71.57203239994124,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
10,0,10,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
11,0,11,0,0,0,0,0,,,,,1.0,1.0,0.7525,71.57203239994124,74.62318190000951,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
11,0,11,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
12,0,12,0,0,0,0,0,,,,,1.0,1.0,0.2575,74.62318190000951,77.68370119994506,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
12,0,12,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
13,0,13,0,0,0,0,0,,,,,1.0,1.0,1.0,77.68370119994506,80.73779159993865,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
13,0,13,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
14,0,14,0,0,0,0,0,,,,,1.0,1.0,0.7525,80.73779159993865,83.78208119992632,[],0,[],563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
14,0,14,0,,,,,,,,,,,,,,,,,563907,001,3,2024-08-15_13h32.18.474,stimuli3,2022.2.5,60.048771592184856,
