ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,36.36003800004255,36.36003800004255,space,2.166294700000435,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
0,0,0,0,0,0,0,0,,,,,1.0,1.0,1.0,38.677571800071746,41.74054790008813,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
0,0,0,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
1,0,1,0,0,0,0,0,,,,,1.0,1.0,0.7525,41.74054790008813,44.78966200002469,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
1,0,1,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
2,0,2,0,0,0,0,0,,,,,1.0,1.0,1.0,44.78966200002469,47.8334470000118,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
2,0,2,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
3,0,3,0,0,0,0,0,,,,,1.0,1.0,0.505,47.8334470000118,50.8940821000142,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
3,0,3,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
4,0,4,0,0,0,0,0,,,,,1.0,1.0,0.2575,50.8940821000142,53.94449940009508,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
4,0,4,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
5,0,5,0,0,0,0,0,,,,,1.0,1.0,0.7525,53.94449940009508,57.0095222000964,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
5,0,5,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
6,0,6,0,0,0,0,0,,,,,1.0,1.0,0.505,57.0095222000964,60.05491200007964,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
6,0,6,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
7,0,7,0,0,0,0,0,,,,,1.0,1.0,0.2575,60.05491200007964,63.10894950001966,[],0,[],203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
7,0,7,0,,,,,,,,,,,,,,,,,203629,001,3,2024-08-15_13h35.29.020,stimuli3,2022.2.5,60.1416576328168,
