ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,42.06995819997974,42.06995819997974,space,1.3444739000406116,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
0,0,0,0,0,0,0,0,,,,,1.0,1.0,0.2575,43.56467320001684,46.60223279998172,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
0,0,0,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
1,0,1,0,0,0,0,0,,,,,1.0,1.0,0.2575,46.60223279998172,49.65842849994078,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
1,0,1,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
2,0,2,0,0,0,0,0,,,,,1.0,1.0,0.01,49.65842849994078,52.70610810001381,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
2,0,2,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
3,0,3,0,0,0,0,0,,,,,1.0,1.0,1.0,52.70610810001381,55.79884930001572,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
3,0,3,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
4,0,4,0,0,0,0,0,,,,,1.0,1.0,0.01,55.79884930001572,58.844144899980165,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
4,0,4,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
5,0,5,0,0,0,0,0,,,,,1.0,1.0,0.505,58.844144899980165,61.89330340002198,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
5,0,5,0,,,,,,,,,,,,,,,,,494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
6,0,6,0,0,0,0,0,,,,,1.0,1.0,0.01,61.89330340002198,64.94516640005168,[],0,[],494225,001,3,2024-08-13_14h23.37.051,stimuli3,2022.2.5,59.967209917294916,
