ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,29.162797899916768,29.162797899916768,space,0.37697189999744296,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
0,0,0,0,0,0,0,0,,,,,0.3760603093086394,0.5,29.627267199917696,29.627267199917696,32.650276799919084,32.650276799919084,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
0,0,0,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
1,0,1,0,0,0,0,0,,,,,0.05318295896944989,0.5,32.650276799919084,32.650276799919084,35.68118479999248,35.68118479999248,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
1,0,1,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
2,0,2,0,0,0,0,0,,,,,0.1414213562373095,0.5,35.68118479999248,35.68118479999248,38.70864359999541,38.70864359999541,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
2,0,2,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
3,0,3,0,0,0,0,0,,,,,0.1414213562373095,0.5,38.70864359999541,38.70864359999541,41.73780969996005,41.73780969996005,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
3,0,3,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
4,0,4,0,0,0,0,0,,,,,0.020000000000000004,0.5,41.73780969996005,41.73780969996005,44.765387299936265,44.765387299936265,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
4,0,4,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
5,0,5,0,0,0,0,0,,,,,1.0,0.5,44.765387299936265,44.765387299936265,47.79196119995322,47.79196119995322,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
5,0,5,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
6,0,6,0,0,0,0,0,,,,,1.0,0.5,47.79196119995322,47.79196119995322,50.815998399979435,50.815998399979435,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
6,0,6,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
7,0,7,0,0,0,0,0,,,,,0.020000000000000004,0.5,50.815998399979435,50.815998399979435,53.840499999932945,53.840499999932945,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
7,0,7,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
8,0,8,0,0,0,0,0,,,,,0.020000000000000004,0.5,53.840499999932945,53.840499999932945,56.86622999992687,56.86622999992687,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
8,0,8,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
9,0,9,0,0,0,0,0,,,,,0.1414213562373095,0.5,56.86622999992687,56.86622999992687,59.89571710000746,59.89571710000746,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
9,0,9,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
10,0,10,0,0,0,0,0,,,,,0.05318295896944989,0.5,59.89571710000746,59.89571710000746,62.930787199991755,62.930787199991755,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
10,0,10,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
11,0,11,0,0,0,0,0,,,,,0.1414213562373095,0.5,62.930787199991755,62.930787199991755,65.96675899997354,65.96675899997354,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
11,0,11,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
12,0,12,0,0,0,0,0,,,,,0.3760603093086394,0.5,65.96675899997354,65.96675899997354,68.99721830000635,68.99721830000635,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
12,0,12,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
13,0,13,0,0,0,0,0,,,,,1.0,0.5,68.99721830000635,68.99721830000635,72.03312319994438,72.03312319994438,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
13,0,13,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
14,0,14,0,0,0,0,0,,,,,0.05318295896944989,0.5,72.03312319994438,72.03312319994438,75.05806959990878,75.05806959990878,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
14,0,14,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
15,0,15,0,0,0,0,0,,,,,0.05318295896944989,0.5,75.05806959990878,75.05806959990878,78.08157059992664,78.08157059992664,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
15,0,15,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
16,0,16,0,0,0,0,0,,,,,1.0,0.5,78.08157059992664,78.08157059992664,81.11446869990323,81.11446869990323,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
16,0,16,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
17,0,17,0,0,0,0,0,,,,,0.020000000000000004,0.5,81.11446869990323,81.11446869990323,84.14794819999952,84.14794819999952,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
17,0,17,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
18,0,18,0,0,0,0,0,,,,,0.3760603093086394,0.5,84.14794819999952,84.14794819999952,87.17338359996211,87.17338359996211,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
18,0,18,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
19,0,19,0,0,0,0,0,,,,,0.3760603093086394,0.5,87.17338359996211,87.17338359996211,90.1747910999693,90.1747910999693,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
19,0,19,0,,,,,,,,,,,,,,,,,130156,001,3,2024-08-15_00h58.30.189,stimuli3,2022.2.5,59.99282487335092,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,
