opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,36.07571010000538,36.07571010000538,space,0.4254494000924751,,,,,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,0,0.005,0.5,,,,,36.61357040004805,36.61357040004805,39.61795880005229,39.61795880005229,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,1,0.005,0.5,,,,,40.11466099997051,40.11466099997051,43.11722719995305,43.11722719995305,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,2,0.005,0.5,,,,,43.61598929995671,43.61598929995671,46.63691700005438,46.63691700005438,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,3,0.005,0.5,,,,,47.15305950003676,47.15305950003676,50.172496799961664,50.172496799961664,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,4,0.005,0.5,,,,,50.66880580002908,50.66880580002908,53.68834750005044,53.68834750005044,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,5,0.005,0.5,,,,,54.18300590000581,54.18300590000581,57.20076230005361,57.20076230005361,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,6,0.005,0.5,,,,,57.698143500019796,57.698143500019796,60.71900549996644,60.71900549996644,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,7,0.005,0.5,,,,,61.21548530005384,61.21548530005384,64.23458709998522,64.23458709998522,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,8,0.005,0.5,,,,,64.7313879999565,64.7313879999565,67.75124300003517,67.75124300003517,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,9,0.005,0.5,,,,,68.24996709998231,68.24996709998231,71.26558270002715,71.26558270002715,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,10,0.005,0.5,,,,,71.76547790004406,71.76547790004406,74.78334890003316,74.78334890003316,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,11,0.005,0.5,,,,,75.28089519997593,75.28089519997593,78.28360099997371,78.28360099997371,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,12,0.005,0.5,,,,,78.78131099999882,78.78131099999882,81.79888649994973,81.79888649994973,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
0,0,0,0,13,0.005,0.5,,,,,82.2989417000208,82.2989417000208,85.31720900000073,85.31720900000073,596426,001,3,2024-08-13_15h09.35.077,stimuli4,2022.2.5,60.010501861902874,
