staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,staircase_loop.response,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,36.52689430001192,36.52689430001192,space,0.46511899994220585,,,,,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
0,0.05,0.5,,,,,37.15711500006728,40.17896669998299,[0],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
1,0.05,0.5610092271509817,,,,,40.675856100046076,43.69332409999333,[0],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
2,0.05,0.6294627058970835,,,,,44.1921180000063,47.208059500087984,[0],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
3,0.05,0.706268772311377,,,,,47.708674900000915,50.72610500000883,[0],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
4,0.05,0.7924465962305565,,,,,51.225546800065786,54.24352360004559,[1],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
5,0.05,0.706268772311377,,,,,54.74480169999879,57.75982450006995,[1],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
6,0.05,0.6294627058970835,,,,,58.259883300052024,61.27376140002161,[1],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
7,0.05,0.5610092271509817,,,,,61.77773289999459,64.78967630001716,[1],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
8,0.05,0.5,,,,,65.29335340007674,68.31188900000416,[1],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
9,0.05,0.4456254690668728,,,,,68.81020390009508,71.81650230009109,[0],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
10,0.05,0.4456254690668728,,,,,72.32729590008967,75.34507120004855,[1],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
11,0.05,0.3971641173621408,,,,,75.84290650009643,78.84985600004438,[0],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
12,0.05,0.3971641173621408,,,,,79.3585616000928,82.37375900009647,[1],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
13,0.05,0.353972892192069,,,,,82.8754753000103,85.89205310004763,[1],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
14,0.05,0.3154786722400967,,,,,86.39423520001583,89.40936020005029,[1],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
15,0.05,0.2811706625951746,,,,,89.91139170003589,92.92494260007516,[1],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
16,0.05,0.25059361681363623,,,,,93.42609369999263,96.44135550002102,[1],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
17,0.05,0.22334179607548166,,,,,96.94373890000861,99.95514370000456,[1],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
18,0.05,0.19905358527674874,,,,,100.45944870007224,103.46709950000513,[0],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
19,0.05,0.19905358527674874,,,,,103.97356439998839,106.97118950006552,[0],,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
,,,,,,,,,,,335331,001,3,2024-08-15_13h56.02.978,stimuli4,2022.2.5,59.95372772353865,
,,,,,,,,,1,,,,,,,,,
