opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,opt2.thisRepN,opt2.thisTrialN,opt2.thisN,opt2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,staircase_loop.response,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,40.68954259995371,40.68954259995371,space,1.4373398000607267,,,,,,294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,0,0.005,0.5,,,,,,,,,42.21945669990964,42.21945669990964,45.25616779993288,45.25616779993288,[1],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,1,0.005,0.495,,,,,,,,,45.25616779993288,45.25616779993288,48.286679000011645,48.286679000011645,[0],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,2,0.005,0.5,,,,,,,,,48.286679000011645,48.286679000011645,51.311366499983706,51.311366499983706,[0],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,3,0.005,0.5,,,,,,,,,51.311366499983706,51.311366499983706,54.3409564999165,54.3409564999165,[1],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,4,0.005,0.495,,,,,,,,,54.3409564999165,54.3409564999165,57.367296700016595,57.367296700016595,[1],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,5,0.005,0.49,,,,,,,,,57.367296700016595,57.367296700016595,60.397943099960685,60.397943099960685,[0],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,6,0.005,0.49,,,,,,,,,60.397943099960685,60.397943099960685,63.423766499967314,63.423766499967314,[0],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,7,0.005,0.495,,,,,,,,,63.423766499967314,63.423766499967314,66.4529086999828,66.4529086999828,[1],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,8,0.005,0.49,,,,,,,,,66.4529086999828,66.4529086999828,69.48268359992653,69.48268359992653,[0],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,9,0.005,0.49,,,,,,,,,69.48268359992653,69.48268359992653,72.5193992999848,72.5193992999848,[1],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,10,0.005,0.485,,,,,,,,,72.5193992999848,72.5193992999848,75.5430892999284,75.5430892999284,[0],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,11,0.005,0.485,,,,,,,,,75.5430892999284,75.5430892999284,78.56773749995045,78.56773749995045,[0],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,12,0.005,0.49,,,,,,,,,78.56773749995045,78.56773749995045,81.59571619995404,81.59571619995404,[0],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,13,0.005,0.49,,,,,,,,,81.59571619995404,81.59571619995404,84.61844029999338,84.61844029999338,[1],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,14,0.005,0.485,,,,,,,,,84.61844029999338,84.61844029999338,87.64492200000677,87.64492200000677,[0],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,15,0.005,0.485,,,,,,,,,87.64492200000677,87.64492200000677,90.6697637999896,90.6697637999896,[1],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,16,0.005,0.48,,,,,,,,,90.6697637999896,90.6697637999896,93.69619119993877,93.69619119993877,[0],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,17,0.005,0.48,,,,,,,,,93.69619119993877,93.69619119993877,96.71760789991822,96.71760789991822,[0],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,18,0.005,0.485,,,,,,,,,96.71760789991822,96.71760789991822,99.74505089991726,99.74505089991726,[0],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,19,0.005,0.485,,,,,,,,,99.74505089991726,99.74505089991726,183.72906479996163,183.72906479996163,[1],294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
0,0,0,0,,,,,,,,,,,,,,,,,294586,001,3,2024-08-15_15h16.27.260,stimuli4,2022.2.5,59.98724668407948,
,,,,,,,,,,,,,,,,,,,1,,,,,,,,
