opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,opt2.thisRepN,opt2.thisTrialN,opt2.thisN,opt2.thisIndex,staircase_loop2.thisTrialN,staircase_loop2.stepSize,staircase_loop2.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_5.started,text_6.started,polygon_5.stopped,text_6.stopped,staircase_loop2.response,key_resp_3.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,265.247025199933,265.247025199933,space,4.097704500076361,,,,,,,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,0,0.05,4.0,,,,,269.43788609991316,269.43788609991316,272.46120099991094,272.46120099991094,[1],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,1,0.05,4.05,,,,,272.46120099991094,272.46120099991094,275.4764622999355,275.4764622999355,[1],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,2,0.05,4.1,,,,,275.4764622999355,275.4764622999355,278.48884409992024,278.48884409992024,[0],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,3,0.05,4.05,,,,,278.48884409992024,278.48884409992024,281.5175841000164,281.5175841000164,[0],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,4,0.05,4.05,,,,,281.5175841000164,281.5175841000164,284.5451909999829,284.5451909999829,[1],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,5,0.05,4.1,,,,,284.5451909999829,284.5451909999829,287.5510940999957,287.5510940999957,[0],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,6,0.05,4.1,,,,,287.5510940999957,287.5510940999957,290.5796632999554,290.5796632999554,[0],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,7,0.05,4.05,,,,,290.5796632999554,290.5796632999554,293.5851835999638,293.5851835999638,[0],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,8,0.05,4.05,,,,,293.5851835999638,293.5851835999638,296.6112315999344,296.6112315999344,[0],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,9,0.05,4.0,,,,,296.6112315999344,296.6112315999344,299.62679130001925,299.62679130001925,[1],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,10,0.05,4.05,,,,,299.62679130001925,299.62679130001925,302.64391360001173,302.64391360001173,[1],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,11,0.05,4.1,,,,,302.64391360001173,302.64391360001173,305.6654577999143,305.6654577999143,[1],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,12,0.05,4.15,,,,,305.6654577999143,305.6654577999143,308.67975569993723,308.67975569993723,[1],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,13,0.05,4.2,,,,,308.67975569993723,308.67975569993723,311.68600129999686,311.68600129999686,[0],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,14,0.05,4.2,,,,,311.68600129999686,311.68600129999686,314.71044139994774,314.71044139994774,[0],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,15,0.05,4.15,,,,,314.71044139994774,314.71044139994774,317.73377719998825,317.73377719998825,[1],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,16,0.05,4.2,,,,,317.73377719998825,317.73377719998825,320.75126609997824,320.75126609997824,[0],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,17,0.05,4.2,,,,,320.75126609997824,320.75126609997824,323.77824579994194,323.77824579994194,[0],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,18,0.05,4.15,,,,,323.77824579994194,323.77824579994194,326.79382289992645,326.79382289992645,[1],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,19,0.05,4.2,,,,,326.79382289992645,326.79382289992645,,,[0],,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
,,,,0,0,0,0,,,,,,,,,,,,,,991702,001,3,2024-08-13_17h40.26.072,stimuli4,2022.2.5,59.84218418841699,
