ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon.started,text_3.started,polygon.stopped,text_3.stopped,position.routineEndVal,key_resp_2.started,polygon_2.started,text_4.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,polygon_3.started,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
10,0,10,0,0,0,0,0,,,,,0.05318295896944989,0.5,67.01217420003377,67.01217420003377,67.11381389992312,67.11381389992312,"(16, 0)",67.11381389992312,67.11381389992312,67.11381389992312,k,1,0.39329719997476786,67.51369059993885,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
11,0,11,0,0,0,0,0,,,,,0.1414213562373095,0.5,68.02463440003339,68.02463440003339,68.12534499994945,68.12534499994945,"(16, 0)",68.12534499994945,68.12534499994945,68.12534499994945,k,1,0.2855159000027925,68.42208809999283,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
12,0,12,0,0,0,0,0,,,,,1.0,0.5,68.93746629997622,68.93746629997622,69.04702519997954,69.04702519997954,"(16, 0)",69.04702519997954,69.04702519997954,69.04702519997954,k,1,0.2837775000371039,69.337397199939,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
13,0,13,0,0,0,0,0,,,,,0.3760603093086394,0.5,69.85009099997114,69.85009099997114,69.95252659998368,69.95252659998368,"(-16, 0)",69.95252659998368,69.95252659998368,69.95252659998368,j,1,0.4537476999685168,70.41506619995926,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
14,0,14,0,0,0,0,0,,,,,0.3760603093086394,0.5,70.92655149998609,70.92655149998609,71.02729849994648,71.02729849994648,"(-16, 0)",71.02729849994648,71.02729849994648,71.02729849994648,j,1,0.24599550000857562,71.2826095999917,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
15,0,15,0,0,0,0,0,,,,,0.020000000000000004,0.5,71.79761090001557,71.79761090001557,71.90480429993477,71.90480429993477,"(16, 0)",71.90480429993477,71.90480429993477,71.90480429993477,k,1,0.5774139999412,72.48738860001322,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
16,0,16,0,0,0,0,0,,,,,0.1414213562373095,0.5,72.99942879995797,72.99942879995797,73.10112879995722,73.10112879995722,"(-16, 0)",73.10112879995722,73.10112879995722,73.10112879995722,j,1,0.247210800065659,73.36001339997165,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
17,0,17,0,0,0,0,0,,,,,0.020000000000000004,0.5,73.87557649996597,73.87557649996597,73.98155599995516,73.98155599995516,"(-16, 0)",73.98155599995516,73.98155599995516,73.98155599995516,j,1,0.48800340003799647,74.48090229998343,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
18,0,18,0,0,0,0,0,,,,,0.05318295896944989,0.5,74.99280499992892,74.99280499992892,75.09344149997924,75.09344149997924,"(-16, 0)",75.09344149997924,75.09344149997924,75.09344149997924,j,1,0.32190550002269447,75.42680959997233,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
19,0,19,0,0,0,0,0,,,,,0.1414213562373095,0.5,75.93960429995786,75.93960429995786,76.04564599995501,76.04564599995501,"(16, 0)",76.04564599995501,76.04564599995501,76.04564599995501,k,1,0.28181379998568445,76.33469489996787,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,865892,001,0.1,2024-06-06_21h48.52.415,stimuli3,2022.2.5,165.73523479645428,
