ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,35.12957059999462,35.12957059999462,space,0.43350509996525943,,,,,,,,047490,001,3,2024-08-14_18h22.41.613,stimuli3,2022.2.5,60.244883401140285,
0,0,0,0,0,0,0,0,,,,,0.05318295896944989,0.5,35.68299240001943,35.68299240001943,38.70139569998719,38.70139569998719,,047490,001,3,2024-08-14_18h22.41.613,stimuli3,2022.2.5,60.244883401140285,
0,0,0,0,,,,,,,,,,,,,,,,047490,001,3,2024-08-14_18h22.41.613,stimuli3,2022.2.5,60.244883401140285,
1,0,1,0,0,0,0,0,,,,,0.05318295896944989,0.5,38.70139569998719,38.70139569998719,41.72682129999157,41.72682129999157,,047490,001,3,2024-08-14_18h22.41.613,stimuli3,2022.2.5,60.244883401140285,
1,0,1,0,,,,,,,,,,,,,,,,047490,001,3,2024-08-14_18h22.41.613,stimuli3,2022.2.5,60.244883401140285,
2,0,2,0,0,0,0,0,,,,,0.3760603093086394,0.5,41.72682129999157,41.72682129999157,44.76380610000342,44.76380610000342,,047490,001,3,2024-08-14_18h22.41.613,stimuli3,2022.2.5,60.244883401140285,
2,0,2,0,,,,,,,,,,,,,,,,047490,001,3,2024-08-14_18h22.41.613,stimuli3,2022.2.5,60.244883401140285,
3,0,3,0,0,0,0,0,,,,,1.0,0.5,44.76380610000342,44.76380610000342,47.807077900040895,47.807077900040895,,047490,001,3,2024-08-14_18h22.41.613,stimuli3,2022.2.5,60.244883401140285,
3,0,3,0,,,,,,,,,,,,,,,,047490,001,3,2024-08-14_18h22.41.613,stimuli3,2022.2.5,60.244883401140285,
4,0,4,0,0,0,0,0,,,,,0.020000000000000004,0.5,47.807077900040895,47.807077900040895,50.84748700005002,50.84748700005002,,047490,001,3,2024-08-14_18h22.41.613,stimuli3,2022.2.5,60.244883401140285,
