staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,staircase_loop.response,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,35.042923699948005,35.042923699948005,space,1.7550464000087231,,,,,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
0,0.05,0.5,,,,,36.92417969997041,39.9418245999841,[0],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
1,0.05,0.5610092271509817,,,,,40.460736399982125,43.47529650002252,[0],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
2,0.05,0.6294627058970835,,,,,43.97989860002417,46.997379799955525,[0],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
3,0.05,0.706268772311377,,,,,47.4959133999655,50.512844900018536,[1],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
4,0.05,0.6294627058970835,,,,,51.010007299948484,54.0235194999259,[0],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
5,0.05,0.6294627058970835,,,,,54.52787959994748,57.54548969992902,[0],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
6,0.05,0.706268772311377,,,,,58.043156099971384,61.06204340001568,[1],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
7,0.05,0.6294627058970835,,,,,61.55883460002951,64.57333839999046,[1],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
8,0.05,0.5610092271509817,,,,,65.07644630002324,68.09355560003314,[1],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
9,0.05,0.5,,,,,68.59294959995896,71.6087375000352,[1],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
10,0.05,0.4456254690668728,,,,,72.11026919994038,75.11662819993217,[0],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
11,0.05,0.4456254690668728,,,,,75.62468699994497,78.64695660001598,[0],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
12,0.05,0.5,,,,,79.14334359997883,82.15898830001242,[1],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
13,0.05,0.4456254690668728,,,,,82.6614662000211,85.67826770001557,[1],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
14,0.05,0.3971641173621408,,,,,86.17679219995625,89.18629220000003,[0],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
15,0.05,0.3971641173621408,,,,,89.69247659994289,92.70931069995277,[1],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
16,0.05,0.353972892192069,,,,,93.21064179996029,96.223346499959,[1],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
17,0.05,0.3154786722400967,,,,,96.72706589999143,99.73895769997034,[1],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
18,0.05,0.2811706625951746,,,,,100.24274629994761,103.24681329994928,[0],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
19,0.05,0.2811706625951746,,,,,103.75794219993986,224.94062040001154,[0],,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
,,,,,,,,,,,984607,001,3,2024-08-13_21h42.18.854,stimuli4,2022.2.5,59.87453888386264,
,,,,,,,,,1,,,,,,,,,
