ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,30.940682400017977,30.940682400017977,space,0.3946750999893993,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
0,0,0,0,0,0,0,0,,,,,1.0,0.5,31.42683750006836,31.42683750006836,34.464973099995404,34.464973099995404,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
0,0,0,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
1,0,1,0,0,0,0,0,,,,,0.05318295896944989,0.5,34.464973099995404,34.464973099995404,37.49504040007014,37.49504040007014,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
1,0,1,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
2,0,2,0,0,0,0,0,,,,,0.020000000000000004,0.5,37.49504040007014,37.49504040007014,40.531480100005865,40.531480100005865,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
2,0,2,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
3,0,3,0,0,0,0,0,,,,,0.3760603093086394,0.5,40.531480100005865,40.531480100005865,43.568464900017716,43.568464900017716,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
3,0,3,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
4,0,4,0,0,0,0,0,,,,,0.1414213562373095,0.5,43.568464900017716,43.568464900017716,46.59864990005735,46.59864990005735,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
4,0,4,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
5,0,5,0,0,0,0,0,,,,,1.0,0.5,46.59864990005735,46.59864990005735,49.65189300000202,49.65189300000202,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
5,0,5,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
6,0,6,0,0,0,0,0,,,,,0.1414213562373095,0.5,49.65189300000202,49.65189300000202,52.68136459996458,52.68136459996458,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
6,0,6,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
7,0,7,0,0,0,0,0,,,,,0.05318295896944989,0.5,52.68136459996458,52.68136459996458,55.71535720000975,55.71535720000975,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
7,0,7,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
8,0,8,0,0,0,0,0,,,,,0.020000000000000004,0.5,55.71535720000975,55.71535720000975,58.74658849998377,58.74658849998377,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
8,0,8,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
9,0,9,0,0,0,0,0,,,,,0.05318295896944989,0.5,58.74658849998377,58.74658849998377,61.774895400041714,61.774895400041714,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
9,0,9,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
10,0,10,0,0,0,0,0,,,,,0.05318295896944989,0.5,61.774895400041714,61.774895400041714,64.81613479997031,64.81613479997031,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
10,0,10,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
11,0,11,0,0,0,0,0,,,,,0.020000000000000004,0.5,64.81613479997031,64.81613479997031,67.84702880005352,67.84702880005352,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
11,0,11,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
12,0,12,0,0,0,0,0,,,,,0.1414213562373095,0.5,67.84702880005352,67.84702880005352,70.88168390002102,70.88168390002102,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
12,0,12,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
13,0,13,0,0,0,0,0,,,,,0.3760603093086394,0.5,70.88168390002102,70.88168390002102,73.91582110000309,73.91582110000309,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
13,0,13,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
14,0,14,0,0,0,0,0,,,,,1.0,0.5,73.91582110000309,73.91582110000309,76.94448479998391,76.94448479998391,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
14,0,14,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
15,0,15,0,0,0,0,0,,,,,0.020000000000000004,0.5,76.94448479998391,76.94448479998391,79.98115590005182,79.98115590005182,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
15,0,15,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
16,0,16,0,0,0,0,0,,,,,1.0,0.5,79.98115590005182,79.98115590005182,83.01183890004177,83.01183890004177,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
16,0,16,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
17,0,17,0,0,0,0,0,,,,,0.1414213562373095,0.5,83.01183890004177,83.01183890004177,86.04672370001208,86.04672370001208,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
17,0,17,0,,,,,,,,,,,,,,,,,136677,001,3,2024-08-15_00h27.41.320,stimuli3,2022.2.5,59.96145676132398,
