ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.61518670001533,34.61518670001533,space,0.6828659999882802,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
0,0,0,0,0,0,0,0,,,,,0.020000000000000004,0.5,35.40531280008145,35.40531280008145,38.4345023999922,38.4345023999922,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
0,0,0,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
1,0,1,0,0,0,0,0,,,,,0.05318295896944989,0.5,38.4345023999922,38.4345023999922,41.46654420008417,41.46654420008417,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
1,0,1,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
2,0,2,0,0,0,0,0,,,,,1.0,0.5,41.46654420008417,41.46654420008417,44.497235500020906,44.497235500020906,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
2,0,2,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
3,0,3,0,0,0,0,0,,,,,0.3760603093086394,0.5,44.497235500020906,44.497235500020906,47.53747280000243,47.53747280000243,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
3,0,3,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
4,0,4,0,0,0,0,0,,,,,0.1414213562373095,0.5,47.53747280000243,47.53747280000243,50.568225000053644,50.568225000053644,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
4,0,4,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
5,0,5,0,0,0,0,0,,,,,0.05318295896944989,0.5,50.568225000053644,50.568225000053644,53.60101640003268,53.60101640003268,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
5,0,5,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
6,0,6,0,0,0,0,0,,,,,1.0,0.5,53.60101640003268,53.60101640003268,56.636278100078925,56.636278100078925,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
6,0,6,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
7,0,7,0,0,0,0,0,,,,,0.020000000000000004,0.5,56.636278100078925,56.636278100078925,59.6682319000829,59.6682319000829,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
7,0,7,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
8,0,8,0,0,0,0,0,,,,,1.0,0.5,59.6682319000829,59.6682319000829,62.70498730009422,62.70498730009422,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
8,0,8,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
9,0,9,0,0,0,0,0,,,,,0.05318295896944989,0.5,62.70498730009422,62.70498730009422,65.73573419998866,65.73573419998866,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
9,0,9,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
10,0,10,0,0,0,0,0,,,,,0.1414213562373095,0.5,65.73573419998866,65.73573419998866,68.76593049999792,68.76593049999792,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
10,0,10,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
11,0,11,0,0,0,0,0,,,,,0.3760603093086394,0.5,68.76593049999792,68.76593049999792,71.8001052000327,71.8001052000327,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
11,0,11,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
12,0,12,0,0,0,0,0,,,,,0.1414213562373095,0.5,71.8001052000327,71.8001052000327,74.83309940004256,74.83309940004256,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
12,0,12,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
13,0,13,0,0,0,0,0,,,,,0.020000000000000004,0.5,74.83309940004256,74.83309940004256,77.86493240005802,77.86493240005802,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
13,0,13,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
14,0,14,0,0,0,0,0,,,,,0.1414213562373095,0.5,77.86493240005802,77.86493240005802,80.89865400001872,80.89865400001872,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
14,0,14,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
15,0,15,0,0,0,0,0,,,,,0.3760603093086394,0.5,80.89865400001872,80.89865400001872,83.93162630009465,83.93162630009465,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
15,0,15,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
16,0,16,0,0,0,0,0,,,,,0.020000000000000004,0.5,83.93162630009465,83.93162630009465,86.97063310001977,86.97063310001977,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
16,0,16,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
17,0,17,0,0,0,0,0,,,,,0.3760603093086394,0.5,86.97063310001977,86.97063310001977,89.99714720004704,89.99714720004704,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
17,0,17,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
18,0,18,0,0,0,0,0,,,,,1.0,0.5,89.99714720004704,89.99714720004704,93.0323822000064,93.0323822000064,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
18,0,18,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
19,0,19,0,0,0,0,0,,,,,0.05318295896944989,0.5,93.0323822000064,93.0323822000064,96.09869710006751,96.09869710006751,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
19,0,19,0,,,,,,,,,,,,,,,,709523,001,3,2024-08-14_17h46.10.483,stimuli3,2022.2.5,60.074600647641994,
