32.4958 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
44.3007 	EXP 	GA: autoDraw = False
44.3007 	EXP 	text_4: autoDraw = False
44.3007 	EXP 	GA: autoDraw = False
44.3007 	EXP 	GA: autoDraw = False
44.3007 	EXP 	text_4: autoDraw = False
44.3007 	EXP 	polygon_3: autoDraw = True
47.9864 	EXP 	polygon_3: autoDraw = False
47.9864 	EXP 	polygon_3: autoDraw = False
47.9864 	EXP 	GA: sf = array([1., 1.])
47.9864 	EXP 	GA: sf = array([1., 1.])
47.9864 	EXP 	GA: phase = array([0.44562547, 0.44562547])
47.9864 	EXP 	text_3: height = 0.05
47.9864 	EXP 	text_3: height = 0.05
47.9864 	EXP 	text_3: height = 0.05
47.9864 	EXP 	text_3: text = 'Spatial frequency: 1.0\nContrast: 1.0\nPhase: 0.446'
47.9864 	EXP 	text_4: height = 0.05
47.9864 	EXP 	text_4: height = 0.05
47.9864 	EXP 	text_4: height = 0.05
47.9864 	EXP 	text_4: text = 'Spatial frequency: 1.0\nContrast: 1.0\nPhase: 0.446'
47.9864 	EXP 	GA: autoDraw = True
47.9864 	EXP 	GA: autoDraw = True
47.9864 	EXP 	text_4: autoDraw = True
50.9842 	EXP 	GA: autoDraw = False
50.9842 	EXP 	GA: autoDraw = False
50.9842 	EXP 	text_4: autoDraw = False
50.9842 	EXP 	GA: autoDraw = False
50.9842 	EXP 	GA: autoDraw = False
50.9842 	EXP 	text_4: autoDraw = False
50.9842 	EXP 	polygon_3: autoDraw = True
54.7085 	EXP 	polygon_3: autoDraw = False
54.7085 	EXP 	polygon_3: autoDraw = False
54.7085 	EXP 	GA: sf = array([1., 1.])
54.7085 	EXP 	GA: sf = array([1., 1.])
54.7085 	EXP 	GA: phase = array([0.39716412, 0.39716412])
54.7085 	EXP 	text_3: height = 0.05
54.7085 	EXP 	text_3: height = 0.05
54.7085 	EXP 	text_3: height = 0.05
54.7085 	EXP 	text_3: text = 'Spatial frequency: 1.0\nContrast: 1.0\nPhase: 0.397'
54.7085 	EXP 	text_4: height = 0.05
54.7085 	EXP 	text_4: height = 0.05
54.7085 	EXP 	text_4: height = 0.05
54.7085 	EXP 	text_4: text = 'Spatial frequency: 1.0\nContrast: 1.0\nPhase: 0.397'
54.7085 	EXP 	GA: autoDraw = True
54.7085 	EXP 	GA: autoDraw = True
54.7085 	EXP 	text_4: autoDraw = True
57.7006 	EXP 	GA: autoDraw = False
57.7006 	EXP 	GA: autoDraw = False
57.7006 	EXP 	text_4: autoDraw = False
57.7006 	EXP 	GA: autoDraw = False
57.7006 	EXP 	GA: autoDraw = False
57.7006 	EXP 	text_4: autoDraw = False
57.7006 	EXP 	polygon_3: autoDraw = True
61.5447 	EXP 	polygon_3: autoDraw = False
61.5447 	EXP 	polygon_3: autoDraw = False
61.5447 	EXP 	GA: sf = array([1., 1.])
61.5447 	EXP 	GA: sf = array([1., 1.])
61.5447 	EXP 	GA: phase = array([0.35397289, 0.35397289])
61.5447 	EXP 	text_3: height = 0.05
61.5447 	EXP 	text_3: height = 0.05
61.5447 	EXP 	text_3: height = 0.05
61.5447 	EXP 	text_3: text = 'Spatial frequency: 1.0\nContrast: 1.0\nPhase: 0.354'
61.5447 	EXP 	text_4: height = 0.05
61.5447 	EXP 	text_4: height = 0.05
