opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,staircase_loop.response,polygon_3.started,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,36.947991699998965,36.947991699998965,space,0.707758600001398,,,,,,,737144,001,3,2024-07-01_08h23.43.117,stimuli4,2022.2.5,165.55606142314306,
0,0,0,0,0,0.005,0.446,,,,,40.38587959999859,40.38587959999859,43.39377080000122,43.39377080000122,0,43.39377080000122,737144,001,3,2024-07-01_08h23.43.117,stimuli4,2022.2.5,165.55606142314306,
0,0,0,0,1,0.005,0.451,,,,,46.05057800000213,46.05057800000213,49.051718199996685,49.051718199996685,0,49.051718199996685,737144,001,3,2024-07-01_08h23.43.117,stimuli4,2022.2.5,165.55606142314306,
