opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,opt2.thisRepN,opt2.thisTrialN,opt2.thisN,opt2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,staircase_loop.response,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,24.846807199995965,24.846807199995965,space,0.9332253000175115,,,,,,,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,0,0.005,0.03,,,,,,,,,28.246982199983904,28.246982199983904,31.252018900006078,31.252018900006078,0,31.252018900006078,33.91565229999833,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,1,0.005,0.034999999999999996,,,,,,,,,33.91565229999833,33.91565229999833,36.917298399988795,36.917298399988795,0,36.917298399988795,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,2,0.005,0.039999999999999994,,,,,,,,,39.58890619999147,39.58890619999147,42.59726209999644,42.59726209999644,0,42.59726209999644,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,3,0.005,0.04499999999999999,,,,,,,,,45.30188379998435,45.30188379998435,48.301402199984295,48.301402199984295,0,48.301402199984295,50.91632859999663,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,4,0.005,0.04999999999999999,,,,,,,,,50.91632859999663,50.91632859999663,53.91908059999696,53.91908059999696,0,53.91908059999696,56.72622169999522,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,5,0.005,0.054999999999999986,,,,,,,,,56.72622169999522,56.72622169999522,59.73195779998787,59.73195779998787,0,59.73195779998787,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,6,0.005,0.059999999999999984,,,,,,,,,62.341607699985616,62.341607699985616,65.34378629998537,65.34378629998537,0,65.34378629998537,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,7,0.005,0.06499999999999999,,,,,,,,,67.9366963999928,67.9366963999928,70.93488359998446,70.93488359998446,0,70.93488359998446,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,8,0.005,0.06999999999999999,,,,,,,,,73.58868559999974,73.58868559999974,76.5938513999863,76.5938513999863,0,76.5938513999863,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,9,0.005,0.075,,,,,,,,,79.21410529999412,79.21410529999412,82.21676209999714,82.21676209999714,0,82.21676209999714,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,10,0.005,0.08,,,,,,,,,84.84303560000262,84.84303560000262,87.84539699999732,87.84539699999732,0,87.84539699999732,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,11,0.005,0.085,,,,,,,,,90.43299000000115,90.43299000000115,93.43342210000264,93.43342210000264,0,93.43342210000264,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,12,0.005,0.09000000000000001,,,,,,,,,95.9999484999862,95.9999484999862,99.00109119998524,99.00109119998524,0,99.00109119998524,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,13,0.005,0.09500000000000001,,,,,,,,,101.60127109999303,101.60127109999303,104.60482000000775,104.60482000000775,0,104.60482000000775,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,14,0.005,0.10000000000000002,,,,,,,,,107.22696709999582,107.22696709999582,110.22590389999095,110.22590389999095,0,110.22590389999095,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,15,0.005,0.10500000000000002,,,,,,,,,112.78796379998676,112.78796379998676,115.78889619998517,115.78889619998517,0,115.78889619998517,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,16,0.005,0.11000000000000003,,,,,,,,,118.41022640001029,118.41022640001029,121.4182046999922,121.4182046999922,0,121.4182046999922,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,17,0.005,0.11500000000000003,,,,,,,,,124.0241984000022,124.0241984000022,127.02974379999796,127.02974379999796,0,127.02974379999796,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,18,0.005,0.12000000000000004,,,,,,,,,129.6292989999929,129.6292989999929,132.63465110000107,132.63465110000107,0,132.63465110000107,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
0,0,0,0,19,0.005,0.12500000000000003,,,,,,,,,135.25665890000528,135.25665890000528,138.26164879999124,138.26164879999124,0,138.26164879999124,,644858,001,3,2024-06-29_13h10.38.112,stimuli4,2022.2.5,162.45871513888625,
