ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
15,0,15,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
16,0,16,0,0,0,0,0,,,,,,,1.0,0.20000000000000004,107.22258580004564,107.22258580004564,110.25728300004266,110.25728300004266,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
16,0,16,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
17,0,17,0,0,0,0,0,,,,,,,1.0,2.2360679774997894,110.25728300004266,110.25728300004266,113.28866500000004,113.28866500000004,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
17,0,17,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
18,0,18,0,0,0,0,0,,,,,,,1.0,1.0,113.28866500000004,113.28866500000004,116.33717850001995,116.33717850001995,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
18,0,18,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
19,0,19,0,0,0,0,0,,,,,,,1.0,5.000000000000001,116.33717850001995,116.33717850001995,240.12427890003892,240.12427890003892,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
19,0,19,0,,,,,,,,,,,,,,,,,,,552622,001,3,2024-07-28_17h44.20.200,stimuli3,2022.2.5,60.009241416700974,
,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
