ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,32.99939680006355,32.99939680006355,space,0.3769694999791682,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
0,0,0,0,0,0,0,0,,,,,0.1414213562373095,0.5,33.47718490008265,33.47718490008265,36.51391890004743,36.51391890004743,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
0,0,0,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
1,0,1,0,0,0,0,0,,,,,0.020000000000000004,0.5,36.51391890004743,36.51391890004743,39.54122880008072,39.54122880008072,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
1,0,1,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
2,0,2,0,0,0,0,0,,,,,0.1414213562373095,0.5,39.54122880008072,39.54122880008072,42.57376610010397,42.57376610010397,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
2,0,2,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
3,0,3,0,0,0,0,0,,,,,0.020000000000000004,0.5,42.57376610010397,42.57376610010397,45.60967510007322,45.60967510007322,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
3,0,3,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
4,0,4,0,0,0,0,0,,,,,1.0,0.5,45.60967510007322,45.60967510007322,48.645531599991955,48.645531599991955,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
4,0,4,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
5,0,5,0,0,0,0,0,,,,,0.3760603093086394,0.5,48.645531599991955,48.645531599991955,51.67874780006241,51.67874780006241,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
5,0,5,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
6,0,6,0,0,0,0,0,,,,,0.05318295896944989,0.5,51.67874780006241,51.67874780006241,54.710993400076404,54.710993400076404,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
6,0,6,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
7,0,7,0,0,0,0,0,,,,,0.3760603093086394,0.5,54.710993400076404,54.710993400076404,57.74228130001575,57.74228130001575,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
7,0,7,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
8,0,8,0,0,0,0,0,,,,,0.020000000000000004,0.5,57.74228130001575,57.74228130001575,60.770778200007044,60.770778200007044,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
8,0,8,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
9,0,9,0,0,0,0,0,,,,,0.020000000000000004,0.5,60.770778200007044,60.770778200007044,63.79256070009433,63.79256070009433,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
9,0,9,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
10,0,10,0,0,0,0,0,,,,,0.1414213562373095,0.5,63.79256070009433,63.79256070009433,66.82837750006001,66.82837750006001,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
10,0,10,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
11,0,11,0,0,0,0,0,,,,,0.05318295896944989,0.5,66.82837750006001,66.82837750006001,69.85866890009493,69.85866890009493,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
11,0,11,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
12,0,12,0,0,0,0,0,,,,,1.0,0.5,69.85866890009493,69.85866890009493,72.8927859000396,72.8927859000396,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
12,0,12,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
13,0,13,0,0,0,0,0,,,,,0.05318295896944989,0.5,72.8927859000396,72.8927859000396,75.92638280009851,75.92638280009851,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
13,0,13,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
14,0,14,0,0,0,0,0,,,,,0.3760603093086394,0.5,75.92638280009851,75.92638280009851,78.95067819999531,78.95067819999531,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
14,0,14,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
15,0,15,0,0,0,0,0,,,,,0.3760603093086394,0.5,78.95067819999531,78.95067819999531,81.97740760003217,81.97740760003217,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
15,0,15,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
16,0,16,0,0,0,0,0,,,,,1.0,0.5,81.97740760003217,81.97740760003217,85.00850650004577,85.00850650004577,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
16,0,16,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
17,0,17,0,0,0,0,0,,,,,0.05318295896944989,0.5,85.00850650004577,85.00850650004577,88.04212850006297,88.04212850006297,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
17,0,17,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
18,0,18,0,0,0,0,0,,,,,1.0,0.5,88.04212850006297,88.04212850006297,91.07692520006094,91.07692520006094,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
18,0,18,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
19,0,19,0,0,0,0,0,,,,,0.1414213562373095,0.5,91.07692520006094,91.07692520006094,94.08637290005572,94.08637290005572,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
19,0,19,0,,,,,,,,,,,,,,,,,945057,001,3,2024-08-15_00h23.36.120,stimuli3,2022.2.5,59.90868718112657,
,,,,,,,,,,,,,,,,,,,1,,,,,,,,
