ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,27.095550299971364,27.095550299971364,space,2.721920400043018,,,,,,,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
0,0,0,0,0,0,0,0,,,,,0.020000000000000004,0.5,30.679009199957363,30.679009199957363,34.25580439995974,34.25580439995974,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
0,0,0,0,,,,,,,,,,,,,,,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
1,0,1,0,0,0,0,0,,,,,0.1414213562373095,0.5,34.25580439995974,34.25580439995974,37.81494859990198,37.81494859990198,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
1,0,1,0,,,,,,,,,,,,,,,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
2,0,2,0,0,0,0,0,,,,,1.0,0.5,37.81494859990198,37.81494859990198,41.35946680000052,41.35946680000052,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
2,0,2,0,,,,,,,,,,,,,,,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
3,0,3,0,0,0,0,0,,,,,0.020000000000000004,0.5,41.35946680000052,41.35946680000052,44.841171599924564,44.841171599924564,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
3,0,3,0,,,,,,,,,,,,,,,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
4,0,4,0,0,0,0,0,,,,,0.020000000000000004,0.5,44.841171599924564,44.841171599924564,48.304661299916916,48.304661299916916,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
4,0,4,0,,,,,,,,,,,,,,,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
5,0,5,0,0,0,0,0,,,,,0.020000000000000004,0.5,48.304661299916916,48.304661299916916,51.756734299939126,51.756734299939126,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
5,0,5,0,,,,,,,,,,,,,,,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
6,0,6,0,0,0,0,0,,,,,0.1414213562373095,0.5,51.756734299939126,51.756734299939126,55.25956299994141,55.25956299994141,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
6,0,6,0,,,,,,,,,,,,,,,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
7,0,7,0,0,0,0,0,,,,,0.05318295896944989,0.5,55.25956299994141,55.25956299994141,58.78784789994825,58.78784789994825,,,586370,001,3,2024-06-08_17h35.12.136,stimuli3,2022.2.5,167.60357077619332,
