ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,33.22061289998237,33.22061289998237,space,0.5523192000109702,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
0,0,0,0,0,0,0,0,,,,,0.020000000000000004,0.5,33.8571232999675,33.8571232999675,36.87129229994025,36.87129229994025,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
0,0,0,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
1,0,1,0,0,0,0,0,,,,,0.020000000000000004,0.5,36.87129229994025,36.87129229994025,39.89590879995376,39.89590879995376,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
1,0,1,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
2,0,2,0,0,0,0,0,,,,,1.0,0.5,39.89590879995376,39.89590879995376,42.92810779996216,42.92810779996216,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
2,0,2,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
3,0,3,0,0,0,0,0,,,,,0.05318295896944989,0.5,42.92810779996216,42.92810779996216,45.956905599916354,45.956905599916354,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
3,0,3,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
4,0,4,0,0,0,0,0,,,,,0.05318295896944989,0.5,45.956905599916354,45.956905599916354,48.980409599957056,48.980409599957056,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
4,0,4,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
5,0,5,0,0,0,0,0,,,,,0.1414213562373095,0.5,48.980409599957056,48.980409599957056,52.01463639992289,52.01463639992289,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
5,0,5,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
6,0,6,0,0,0,0,0,,,,,0.3760603093086394,0.5,52.01463639992289,52.01463639992289,55.04586119996384,55.04586119996384,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
6,0,6,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
7,0,7,0,0,0,0,0,,,,,0.020000000000000004,0.5,55.04586119996384,55.04586119996384,58.078923099907115,58.078923099907115,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
7,0,7,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
8,0,8,0,0,0,0,0,,,,,0.1414213562373095,0.5,58.078923099907115,58.078923099907115,61.11317079991568,61.11317079991568,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
8,0,8,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
9,0,9,0,0,0,0,0,,,,,1.0,0.5,61.11317079991568,61.11317079991568,64.14508229994681,64.14508229994681,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
9,0,9,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
10,0,10,0,0,0,0,0,,,,,0.3760603093086394,0.5,64.14508229994681,64.14508229994681,67.17237849999219,67.17237849999219,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
10,0,10,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
11,0,11,0,0,0,0,0,,,,,0.3760603093086394,0.5,67.17237849999219,67.17237849999219,70.19373649999034,70.19373649999034,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
11,0,11,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
12,0,12,0,0,0,0,0,,,,,0.020000000000000004,0.5,70.19373649999034,70.19373649999034,73.22765599994455,73.22765599994455,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
12,0,12,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
13,0,13,0,0,0,0,0,,,,,1.0,0.5,73.22765599994455,73.22765599994455,76.26290349999908,76.26290349999908,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
13,0,13,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
14,0,14,0,0,0,0,0,,,,,0.05318295896944989,0.5,76.26290349999908,76.26290349999908,79.29199029994197,79.29199029994197,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
14,0,14,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
15,0,15,0,0,0,0,0,,,,,1.0,0.5,79.29199029994197,79.29199029994197,82.33161709993146,82.33161709993146,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
15,0,15,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
16,0,16,0,0,0,0,0,,,,,0.05318295896944989,0.5,82.33161709993146,82.33161709993146,85.36314829997718,85.36314829997718,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
16,0,16,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
17,0,17,0,0,0,0,0,,,,,0.1414213562373095,0.5,85.36314829997718,85.36314829997718,88.39592979999725,88.39592979999725,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
17,0,17,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
18,0,18,0,0,0,0,0,,,,,0.3760603093086394,0.5,88.39592979999725,88.39592979999725,91.42750399990473,91.42750399990473,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
18,0,18,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
19,0,19,0,0,0,0,0,,,,,0.1414213562373095,0.5,91.42750399990473,91.42750399990473,94.43779949995223,94.43779949995223,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
19,0,19,0,,,,,,,,,,,,,,,,,572562,001,3,2024-08-15_00h49.37.780,stimuli3,2022.2.5,59.82793483077725,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,
