ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,46.506923599983566,46.506923599983566,space,1.5270569000858814,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
0,0,0,0,0,0,0,0,,,,,0.05318295896944989,0.5,48.16097049997188,48.16097049997188,51.19293929997366,51.19293929997366,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
0,0,0,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
1,0,1,0,0,0,0,0,,,,,1.0,0.5,51.19293929997366,51.19293929997366,54.22563050000463,54.22563050000463,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
1,0,1,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
2,0,2,0,0,0,0,0,,,,,0.3760603093086394,0.5,54.22563050000463,54.22563050000463,57.25337940000463,57.25337940000463,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
2,0,2,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
3,0,3,0,0,0,0,0,,,,,0.05318295896944989,0.5,57.25337940000463,57.25337940000463,60.30645939998794,60.30645939998794,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
3,0,3,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
4,0,4,0,0,0,0,0,,,,,1.0,0.5,60.30645939998794,60.30645939998794,63.357914299936965,63.357914299936965,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
4,0,4,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
5,0,5,0,0,0,0,0,,,,,0.1414213562373095,0.5,63.357914299936965,63.357914299936965,66.4055865999544,66.4055865999544,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
5,0,5,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
6,0,6,0,0,0,0,0,,,,,1.0,0.5,66.4055865999544,66.4055865999544,69.44851139991079,69.44851139991079,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
6,0,6,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
7,0,7,0,0,0,0,0,,,,,0.3760603093086394,0.5,69.44851139991079,69.44851139991079,72.49520589993335,72.49520589993335,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
7,0,7,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
8,0,8,0,0,0,0,0,,,,,0.1414213562373095,0.5,72.49520589993335,72.49520589993335,75.5307521999348,75.5307521999348,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
8,0,8,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
9,0,9,0,0,0,0,0,,,,,0.020000000000000004,0.5,75.5307521999348,75.5307521999348,78.55971309996676,78.55971309996676,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
9,0,9,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
10,0,10,0,0,0,0,0,,,,,1.0,0.5,78.55971309996676,78.55971309996676,81.6022268999368,81.6022268999368,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
10,0,10,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
11,0,11,0,0,0,0,0,,,,,0.3760603093086394,0.5,81.6022268999368,81.6022268999368,84.65939009992871,84.65939009992871,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
11,0,11,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
12,0,12,0,0,0,0,0,,,,,0.1414213562373095,0.5,84.65939009992871,84.65939009992871,87.69337220001034,87.69337220001034,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
12,0,12,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
13,0,13,0,0,0,0,0,,,,,0.020000000000000004,0.5,87.69337220001034,87.69337220001034,90.72995159996208,90.72995159996208,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
13,0,13,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
14,0,14,0,0,0,0,0,,,,,0.05318295896944989,0.5,90.72995159996208,90.72995159996208,93.7467102999799,93.7467102999799,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
14,0,14,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
15,0,15,0,0,0,0,0,,,,,0.05318295896944989,0.5,93.7467102999799,93.7467102999799,96.77572509995662,96.77572509995662,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
15,0,15,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
16,0,16,0,0,0,0,0,,,,,0.020000000000000004,0.5,96.77572509995662,96.77572509995662,99.813007599907,99.813007599907,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
16,0,16,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
17,0,17,0,0,0,0,0,,,,,0.1414213562373095,0.5,99.813007599907,99.813007599907,102.84199190000072,102.84199190000072,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
17,0,17,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
18,0,18,0,0,0,0,0,,,,,0.3760603093086394,0.5,102.84199190000072,102.84199190000072,105.87901899998542,105.87901899998542,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
18,0,18,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
19,0,19,0,0,0,0,0,,,,,0.020000000000000004,0.5,105.87901899998542,105.87901899998542,222.13306409993675,222.13306409993675,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
19,0,19,0,,,,,,,,,,,,,,,,,650439,001,3,2024-08-13_00h34.17.193,stimuli3,2022.2.5,59.98080614949972,
,,,,,,,,,,,,,,,,,,,1,,,,,,,,
