ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,40.35312750004232,40.35312750004232,space,0.6487342000473291,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
0,0,0,0,0,0,0,0,,,,,1.0,1.0,0.2575,41.1441129000159,44.199200200033374,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
0,0,0,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
1,0,1,0,0,0,0,0,,,,,1.0,1.0,0.01,44.199200200033374,47.24893230001908,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
1,0,1,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
2,0,2,0,0,0,0,0,,,,,1.0,1.0,0.01,47.24893230001908,50.30688520008698,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
2,0,2,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
3,0,3,0,0,0,0,0,,,,,1.0,1.0,0.7525,50.30688520008698,53.36953230004292,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
3,0,3,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
4,0,4,0,0,0,0,0,,,,,1.0,1.0,0.2575,53.36953230004292,56.413919700076804,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
4,0,4,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
5,0,5,0,0,0,0,0,,,,,1.0,1.0,0.2575,56.413919700076804,59.46108090004418,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
5,0,5,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
6,0,6,0,0,0,0,0,,,,,1.0,1.0,0.01,59.46108090004418,62.508626400027424,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
6,0,6,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
7,0,7,0,0,0,0,0,,,,,1.0,1.0,0.7525,62.508626400027424,65.55842530005611,[],0,[],338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
7,0,7,0,,,,,,,,,,,,,,,,,338579,001,3,2024-08-13_01h27.20.273,stimuli3,2022.2.5,59.90646203533693,
