ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.39026240003295,34.39026240003295,space,0.5928503999020904,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
0,0,0,0,0,0,0,0,,,,,0.05318295896944989,0.5,35.06010140001308,35.06010140001308,38.09188930003438,38.09188930003438,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
0,0,0,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
1,0,1,0,0,0,0,0,,,,,0.020000000000000004,0.5,38.09188930003438,38.09188930003438,41.12598929996602,41.12598929996602,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
1,0,1,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
2,0,2,0,0,0,0,0,,,,,0.1414213562373095,0.5,41.12598929996602,41.12598929996602,44.15588640002534,44.15588640002534,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
2,0,2,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
3,0,3,0,0,0,0,0,,,,,0.020000000000000004,0.5,44.15588640002534,44.15588640002534,47.1897323000012,47.1897323000012,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
3,0,3,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
4,0,4,0,0,0,0,0,,,,,0.1414213562373095,0.5,47.1897323000012,47.1897323000012,50.225954100023955,50.225954100023955,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
4,0,4,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
5,0,5,0,0,0,0,0,,,,,0.05318295896944989,0.5,50.225954100023955,50.225954100023955,53.256594600039534,53.256594600039534,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
5,0,5,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
6,0,6,0,0,0,0,0,,,,,0.1414213562373095,0.5,53.256594600039534,53.256594600039534,56.28825079998933,56.28825079998933,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
6,0,6,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
7,0,7,0,0,0,0,0,,,,,0.020000000000000004,0.5,56.28825079998933,56.28825079998933,59.32705970003735,59.32705970003735,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
7,0,7,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
8,0,8,0,0,0,0,0,,,,,0.3760603093086394,0.5,59.32705970003735,59.32705970003735,62.34947420004755,62.34947420004755,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
8,0,8,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
9,0,9,0,0,0,0,0,,,,,0.3760603093086394,0.5,62.34947420004755,62.34947420004755,65.37405640003271,65.37405640003271,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
9,0,9,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
10,0,10,0,0,0,0,0,,,,,0.020000000000000004,0.5,65.37405640003271,65.37405640003271,68.40565540001262,68.40565540001262,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
10,0,10,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
11,0,11,0,0,0,0,0,,,,,0.3760603093086394,0.5,68.40565540001262,68.40565540001262,71.43809730000794,71.43809730000794,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
11,0,11,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
12,0,12,0,0,0,0,0,,,,,1.0,0.5,71.43809730000794,71.43809730000794,74.46349380002357,74.46349380002357,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
12,0,12,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
13,0,13,0,0,0,0,0,,,,,1.0,0.5,74.46349380002357,74.46349380002357,77.48715379997157,77.48715379997157,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
13,0,13,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
14,0,14,0,0,0,0,0,,,,,0.05318295896944989,0.5,77.48715379997157,77.48715379997157,80.5200535999611,80.5200535999611,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
14,0,14,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
15,0,15,0,0,0,0,0,,,,,0.1414213562373095,0.5,80.5200535999611,80.5200535999611,83.55468319996726,83.55468319996726,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
15,0,15,0,,,,,,,,,,,,,,,,899182,001,3,2024-08-15_00h00.46.015,stimuli3,2022.2.5,60.006180627781966,
