ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,33.98311169992667,33.98311169992667,space,0.7413992000510916,,,,,,,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
0,0,0,0,0,0,0,0,,,,,0.3760603093086394,0.5,34.83266999991611,34.83266999991611,37.85046679992229,37.85046679992229,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
0,0,0,0,,,,,,,,,,,,,,,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
1,0,1,0,0,0,0,0,,,,,0.3760603093086394,0.5,37.85046679992229,37.85046679992229,40.873664999962784,40.873664999962784,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
1,0,1,0,,,,,,,,,,,,,,,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
2,0,2,0,0,0,0,0,,,,,0.020000000000000004,0.5,40.873664999962784,40.873664999962784,43.907206399948336,43.907206399948336,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
2,0,2,0,,,,,,,,,,,,,,,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
3,0,3,0,0,0,0,0,,,,,1.0,0.5,43.907206399948336,43.907206399948336,46.93953749991488,46.93953749991488,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
3,0,3,0,,,,,,,,,,,,,,,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
4,0,4,0,0,0,0,0,,,,,0.05318295896944989,0.5,46.93953749991488,46.93953749991488,49.97192479996011,49.97192479996011,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
4,0,4,0,,,,,,,,,,,,,,,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
5,0,5,0,0,0,0,0,,,,,0.020000000000000004,0.5,49.97192479996011,49.97192479996011,53.00550149998162,53.00550149998162,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
5,0,5,0,,,,,,,,,,,,,,,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
6,0,6,0,0,0,0,0,,,,,1.0,0.5,53.00550149998162,53.00550149998162,56.043765599955805,56.043765599955805,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
6,0,6,0,,,,,,,,,,,,,,,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
7,0,7,0,0,0,0,0,,,,,0.1414213562373095,0.5,56.043765599955805,56.043765599955805,59.07318719988689,59.07318719988689,,805049,001,3,2024-08-14_21h56.45.302,stimuli3,2022.2.5,59.96961939684762,
