ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,31.862391299917363,31.862391299917363,space,0.9192229000618681,,,,,,,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
0,0,0,0,0,0,0,0,,,,,0.1414213562373095,0.5,32.87060919997748,32.87060919997748,35.90568189998157,35.90568189998157,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
0,0,0,0,,,,,,,,,,,,,,,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
1,0,1,0,0,0,0,0,,,,,0.05318295896944989,0.5,35.90568189998157,35.90568189998157,38.93466239992995,38.93466239992995,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
1,0,1,0,,,,,,,,,,,,,,,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
2,0,2,0,0,0,0,0,,,,,0.1414213562373095,0.5,38.93466239992995,38.93466239992995,41.9680508999154,41.9680508999154,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
2,0,2,0,,,,,,,,,,,,,,,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
3,0,3,0,0,0,0,0,,,,,0.05318295896944989,0.5,41.9680508999154,41.9680508999154,45.008933699922636,45.008933699922636,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
3,0,3,0,,,,,,,,,,,,,,,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
4,0,4,0,0,0,0,0,,,,,0.3760603093086394,0.5,45.008933699922636,45.008933699922636,48.03701089997776,48.03701089997776,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
4,0,4,0,,,,,,,,,,,,,,,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
5,0,5,0,0,0,0,0,,,,,1.0,0.5,48.03701089997776,48.03701089997776,51.0697463999968,51.0697463999968,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
5,0,5,0,,,,,,,,,,,,,,,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
6,0,6,0,0,0,0,0,,,,,0.05318295896944989,0.5,51.0697463999968,51.0697463999968,54.10603369993623,54.10603369993623,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
6,0,6,0,,,,,,,,,,,,,,,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
7,0,7,0,0,0,0,0,,,,,1.0,0.5,54.10603369993623,54.10603369993623,57.136539899976924,57.136539899976924,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
7,0,7,0,,,,,,,,,,,,,,,,,630596,001,3,2024-08-15_00h11.45.886,stimuli3,2022.2.5,59.95024128376177,
