staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,staircase_loop.response,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,48.97614059993066,48.97614059993066,space,0.6807376999640837,,,,,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
0,0.05,0.5,,,,,49.80739499989431,52.831988299963996,[0],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
1,0.05,0.5610092271509817,,,,,53.33121799991932,56.3439905999694,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
2,0.05,0.5,,,,,56.846981299924664,59.864471299923025,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
3,0.05,0.4456254690668728,,,,,60.36402839992661,63.3863463999005,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
4,0.05,0.3971641173621408,,,,,63.88174300000537,66.89716239995323,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
5,0.05,0.353972892192069,,,,,67.3982925999444,70.415201399941,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
6,0.05,0.3154786722400967,,,,,70.91514009993989,73.93636189994868,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
7,0.05,0.2811706625951746,,,,,74.43060189997777,77.4436762999976,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
8,0.05,0.25059361681363623,,,,,77.94751410000026,80.95435559994075,[0],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
9,0.05,0.25059361681363623,,,,,81.46397789998446,84.47851419996005,[0],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
10,0.05,0.2811706625951746,,,,,84.97992640000302,87.99530259997118,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
11,0.05,0.25059361681363623,,,,,88.49768169992603,91.51515829993878,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
12,0.05,0.22334179607548166,,,,,92.01430049992632,95.02119449991733,[0],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
13,0.05,0.22334179607548166,,,,,95.52859279990662,98.54916870000307,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
14,0.05,0.19905358527674874,,,,,99.04644299997017,102.05438619991764,[0],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
15,0.05,0.19905358527674874,,,,,102.56776489992626,105.58480779989623,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
16,0.05,0.17740669461678785,,,,,106.07915739994496,109.09959679993335,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
17,0.05,0.15811388300841908,,,,,109.59679019998293,112.60152319993358,[0],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
18,0.05,0.15811388300841908,,,,,113.11741109995637,116.12764540000353,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
19,0.05,0.1409191465632228,,,,,116.62491279991809,119.6255124999443,[1],,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
,,,,,,,,,,,158810,001,3,2024-08-15_13h51.22.773,stimuli4,2022.2.5,59.99944798690565,
,,,,,,,,,0,,,,,,,,,
