ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,phase.routineEndVal,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,40.93976239999756,40.93976239999756,space,4.73926639999263,,,,,,,,,198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
0,0,0,0,0,0,0,0,,,,,1.0,1.0,1.0,45.81516669993289,48.881486099911854,[],0,[],198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
0,0,0,0,,,,,,,,,,,,,,,,,198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
1,0,1,0,0,0,0,0,,,,,1.0,1.0,0.2575,48.881486099911854,51.93771999992896,[],0,[],198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
1,0,1,0,,,,,,,,,,,,,,,,,198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
2,0,2,0,0,0,0,0,,,,,1.0,1.0,0.7525,51.93771999992896,54.97959279990755,[],0,[],198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
2,0,2,0,,,,,,,,,,,,,,,,,198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
3,0,3,0,0,0,0,0,,,,,1.0,1.0,0.7525,54.97959279990755,58.0757869000081,[],0,[],198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
3,0,3,0,,,,,,,,,,,,,,,,,198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
4,0,4,0,0,0,0,0,,,,,1.0,1.0,0.2575,58.0757869000081,61.119843299966305,[],0,[],198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
4,0,4,0,,,,,,,,,,,,,,,,,198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
5,0,5,0,0,0,0,0,,,,,1.0,1.0,0.2575,61.119843299966305,64.17721389990766,[],0,[],198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
5,0,5,0,,,,,,,,,,,,,,,,,198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
6,0,6,0,0,0,0,0,,,,,1.0,1.0,0.01,64.17721389990766,67.23352629994042,[],0,[],198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
6,0,6,0,,,,,,,,,,,,,,,,,198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
7,0,7,0,0,0,0,0,,,,,1.0,1.0,0.2575,67.23352629994042,70.29680339992046,[],0,[],198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
7,0,7,0,,,,,,,,,,,,,,,,,198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
8,0,8,0,0,0,0,0,,,,,1.0,1.0,1.0,70.29680339992046,73.36067480000202,[],0,[],198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
8,0,8,0,,,,,,,,,,,,,,,,,198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
9,0,9,0,0,0,0,0,,,,,1.0,1.0,0.505,73.36067480000202,76.42118629999459,[],0,[],198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
9,0,9,0,,,,,,,,,,,,,,,,,198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
10,0,10,0,0,0,0,0,,,,,1.0,1.0,0.7525,76.42118629999459,79.47610149998218,[],0,[],198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
10,0,10,0,,,,,,,,,,,,,,,,,198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
11,0,11,0,0,0,0,0,,,,,1.0,1.0,1.0,79.47610149998218,82.52175159996841,[],0,[],198870,001,3,2024-08-13_14h20.51.125,stimuli3,2022.2.5,60.25649987166144,
