ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,thisRow.t,notes,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,47.097928400035016,47.097928400035016,space,7.093906200025231,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
0,0,0,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,54.42434840003261,54.42434840003261,57.455693099997006,57.455693099997006,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
0,0,0,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
1,0,1,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,57.455693099997006,57.455693099997006,60.48900430003414,60.48900430003414,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
1,0,1,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
2,0,2,0,0,0,0,0,,,,,,,1.0,0.5,60.48900430003414,60.48900430003414,63.51404859998729,63.51404859998729,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
2,0,2,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
3,0,3,0,0,0,0,0,,,,,,,0.020000000000000004,0.5,63.51404859998729,63.51404859998729,66.56865120003931,66.56865120003931,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
3,0,3,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
4,0,4,0,0,0,0,0,,,,,,,0.1414213562373095,0.5,66.56865120003931,66.56865120003931,69.5981851000106,69.5981851000106,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
4,0,4,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
5,0,5,0,0,0,0,0,,,,,,,0.3760603093086394,0.5,69.5981851000106,69.5981851000106,72.62674849998439,72.62674849998439,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
5,0,5,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
6,0,6,0,0,0,0,0,,,,,,,1.0,0.5,72.62674849998439,72.62674849998439,75.64668599999277,75.64668599999277,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
6,0,6,0,,,,,,,,,,,,,,,,,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
7,0,7,0,0,0,0,0,,,,,,,1.0,0.5,75.64668599999277,75.64668599999277,78.67931069998303,78.67931069998303,,,006093,001,3,2024-07-27_16h02.23.376,stimuli3,2022.2.5,59.88949191168003,
