ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,37.43479219998699,37.43479219998699,space,0.3623133000219241,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
0,0,0,0,0,0,0,0,,,,,1.0,0.5,37.904810999985784,37.904810999985784,40.93279320001602,40.93279320001602,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
0,0,0,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
1,0,1,0,0,0,0,0,,,,,0.020000000000000004,0.5,40.93279320001602,40.93279320001602,43.961707600043155,43.961707600043155,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
1,0,1,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
2,0,2,0,0,0,0,0,,,,,1.0,0.5,43.961707600043155,43.961707600043155,46.994783799978904,46.994783799978904,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
2,0,2,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
3,0,3,0,0,0,0,0,,,,,0.020000000000000004,0.5,46.994783799978904,46.994783799978904,50.0370420999825,50.0370420999825,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
3,0,3,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
4,0,4,0,0,0,0,0,,,,,0.1414213562373095,0.5,50.0370420999825,50.0370420999825,53.056241799960844,53.056241799960844,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
4,0,4,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
5,0,5,0,0,0,0,0,,,,,0.1414213562373095,0.5,53.056241799960844,53.056241799960844,56.08998920000158,56.08998920000158,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
5,0,5,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
6,0,6,0,0,0,0,0,,,,,0.1414213562373095,0.5,56.08998920000158,56.08998920000158,59.14577439997811,59.14577439997811,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
6,0,6,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
7,0,7,0,0,0,0,0,,,,,0.05318295896944989,0.5,59.14577439997811,59.14577439997811,62.17131480004173,62.17131480004173,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
7,0,7,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
8,0,8,0,0,0,0,0,,,,,0.05318295896944989,0.5,62.17131480004173,62.17131480004173,65.20452590007335,65.20452590007335,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
8,0,8,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
9,0,9,0,0,0,0,0,,,,,0.05318295896944989,0.5,65.20452590007335,65.20452590007335,68.2503092000261,68.2503092000261,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
9,0,9,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
10,0,10,0,0,0,0,0,,,,,0.020000000000000004,0.5,68.2503092000261,68.2503092000261,71.2817055999767,71.2817055999767,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
10,0,10,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
11,0,11,0,0,0,0,0,,,,,1.0,0.5,71.2817055999767,71.2817055999767,74.3220081999898,74.3220081999898,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
11,0,11,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
12,0,12,0,0,0,0,0,,,,,0.3760603093086394,0.5,74.3220081999898,74.3220081999898,77.3668209000025,77.3668209000025,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
12,0,12,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
13,0,13,0,0,0,0,0,,,,,1.0,0.5,77.3668209000025,77.3668209000025,80.40195690002292,80.40195690002292,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
13,0,13,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
14,0,14,0,0,0,0,0,,,,,0.3760603093086394,0.5,80.40195690002292,80.40195690002292,83.43087779998314,83.43087779998314,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
14,0,14,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
15,0,15,0,0,0,0,0,,,,,0.020000000000000004,0.5,83.43087779998314,83.43087779998314,86.46723920002114,86.46723920002114,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
15,0,15,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
16,0,16,0,0,0,0,0,,,,,0.1414213562373095,0.5,86.46723920002114,86.46723920002114,89.49979420006275,89.49979420006275,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
16,0,16,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
17,0,17,0,0,0,0,0,,,,,0.3760603093086394,0.5,89.49979420006275,89.49979420006275,92.53175470000133,92.53175470000133,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
17,0,17,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
18,0,18,0,0,0,0,0,,,,,0.05318295896944989,0.5,92.53175470000133,92.53175470000133,95.56562999996822,95.56562999996822,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
18,0,18,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
19,0,19,0,0,0,0,0,,,,,0.3760603093086394,0.5,95.56562999996822,95.56562999996822,98.61374040006194,98.61374040006194,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
19,0,19,0,,,,,,,,,,,,,,,,057823,001,3,2024-08-14_18h04.48.122,stimuli3,2022.2.5,59.88515224498928,
