opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,staircase_loop.response,polygon_3.started,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,26.17034889999195,26.17034889999195,space,1.1526898999873083,,,,,,,827809,001,3,2024-06-29_12h56.15.501,stimuli4,2022.2.5,166.45803929014593,
0,0,0,0,0,0.005,0.064,,,,,29.82915089998278,29.82915089998278,32.85157219998655,32.85157219998655,0,32.85157219998655,827809,001,3,2024-06-29_12h56.15.501,stimuli4,2022.2.5,166.45803929014593,
0,0,0,0,1,0.005,0.069,,,,,35.45280119997915,35.45280119997915,38.455178699980024,38.455178699980024,0,38.455178699980024,827809,001,3,2024-06-29_12h56.15.501,stimuli4,2022.2.5,166.45803929014593,
