ga_loop.thisRepN,ga_loop.thisTrialN,ga_loop.thisN,ga_loop.thisIndex,psychometric_func.thisRepN,psychometric_func.thisTrialN,psychometric_func.thisN,psychometric_func.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,contrast.routineEndVal,spatial.routineEndVal,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,key_resp_2.keys,key_resp_2.corr,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,32.34104540001135,32.34104540001135,space,0.5357524000573903,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
0,0,0,0,0,0,0,0,,,,,0.020000000000000004,0.5,32.96125600009691,32.96125600009691,35.987575600040145,35.987575600040145,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
0,0,0,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
1,0,1,0,0,0,0,0,,,,,1.0,0.5,35.987575600040145,35.987575600040145,39.018299799994566,39.018299799994566,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
1,0,1,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
2,0,2,0,0,0,0,0,,,,,0.020000000000000004,0.5,39.018299799994566,39.018299799994566,42.05251380009577,42.05251380009577,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
2,0,2,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
3,0,3,0,0,0,0,0,,,,,0.1414213562373095,0.5,42.05251380009577,42.05251380009577,45.08739770005923,45.08739770005923,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
3,0,3,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
4,0,4,0,0,0,0,0,,,,,0.3760603093086394,0.5,45.08739770005923,45.08739770005923,48.11886210006196,48.11886210006196,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
4,0,4,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
5,0,5,0,0,0,0,0,,,,,0.1414213562373095,0.5,48.11886210006196,48.11886210006196,51.150361900101416,51.150361900101416,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
5,0,5,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
6,0,6,0,0,0,0,0,,,,,0.05318295896944989,0.5,51.150361900101416,51.150361900101416,54.17835400009062,54.17835400009062,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
6,0,6,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
7,0,7,0,0,0,0,0,,,,,0.05318295896944989,0.5,54.17835400009062,54.17835400009062,57.206231600022875,57.206231600022875,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
7,0,7,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
8,0,8,0,0,0,0,0,,,,,0.3760603093086394,0.5,57.206231600022875,57.206231600022875,60.242239400045946,60.242239400045946,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
8,0,8,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
9,0,9,0,0,0,0,0,,,,,1.0,0.5,60.242239400045946,60.242239400045946,63.2721418000292,63.2721418000292,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
9,0,9,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
10,0,10,0,0,0,0,0,,,,,0.020000000000000004,0.5,63.2721418000292,63.2721418000292,66.30491510010324,66.30491510010324,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
10,0,10,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
11,0,11,0,0,0,0,0,,,,,1.0,0.5,66.30491510010324,66.30491510010324,69.33773770008702,69.33773770008702,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
11,0,11,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
12,0,12,0,0,0,0,0,,,,,0.3760603093086394,0.5,69.33773770008702,69.33773770008702,72.36706060008146,72.36706060008146,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
12,0,12,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
13,0,13,0,0,0,0,0,,,,,0.3760603093086394,0.5,72.36706060008146,72.36706060008146,75.40194230002817,75.40194230002817,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
13,0,13,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
14,0,14,0,0,0,0,0,,,,,0.020000000000000004,0.5,75.40194230002817,75.40194230002817,78.43465770001058,78.43465770001058,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
14,0,14,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
15,0,15,0,0,0,0,0,,,,,0.1414213562373095,0.5,78.43465770001058,78.43465770001058,81.4697055000579,81.4697055000579,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
15,0,15,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
16,0,16,0,0,0,0,0,,,,,0.05318295896944989,0.5,81.4697055000579,81.4697055000579,84.50084570003673,84.50084570003673,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
16,0,16,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
17,0,17,0,0,0,0,0,,,,,0.1414213562373095,0.5,84.50084570003673,84.50084570003673,87.53488940000534,87.53488940000534,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
17,0,17,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
18,0,18,0,0,0,0,0,,,,,0.05318295896944989,0.5,87.53488940000534,87.53488940000534,90.56959440000355,90.56959440000355,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
18,0,18,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
19,0,19,0,0,0,0,0,,,,,1.0,0.5,90.56959440000355,90.56959440000355,93.57916550000664,93.57916550000664,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
19,0,19,0,,,,,,,,,,,,,,,,,282200,001,3,2024-08-14_23h55.13.998,stimuli3,2022.2.5,59.925452699396615,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,
