30.0474 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
31.1509 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021A222CBC10>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021A222CBBB0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021A222CBA00>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021A32BF2AC0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
31.1510 	EXP 	window1: backgroundImage = None
31.1510 	EXP 	window1: backgroundFit = 'cover'
31.1512 	EXP 	window1: mouseVisible = False
31.1538 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
31.1538 	EXP 	window1: recordFrameIntervals = False
31.3166 	EXP 	window1: recordFrameIntervals = True
31.5001 	EXP 	Screen (0) actual frame rate measured at 60.11Hz
31.5002 	EXP 	window1: recordFrameIntervals = False
33.4629 	EXP 	window1: mouseVisible = False
