staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,text_4.started,text_4.stopped,staircase_loop.response,key_resp_2.rt,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,32.288923699990846,32.288923699990846,space,0.6462167999707162,,,,,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
0,0.05,0.5,,,,,33.04896479996387,36.070464899996296,[1],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
1,0.05,0.4456254690668728,,,,,36.57201759994496,39.58629669994116,[1],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
2,0.05,0.3971641173621408,,,,,40.086801899946295,43.0991257999558,[0],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
3,0.05,0.4456254690668728,,,,,43.60573279997334,46.61794619995635,[1],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
4,0.05,0.3971641173621408,,,,,47.12179779994767,50.12582279997878,[0],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
5,0.05,0.3971641173621408,,,,,50.637353500002064,53.648633699980564,[0],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
6,0.05,0.4456254690668728,,,,,54.15516530000605,57.15718169999309,[0],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
7,0.05,0.4456254690668728,,,,,57.67055749997962,60.68138299998827,[0],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
8,0.05,0.5,,,,,61.186241299961694,64.19897959998343,[1],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
9,0.05,0.4456254690668728,,,,,64.7033611999359,67.720374800032,[1],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
10,0.05,0.3971641173621408,,,,,68.21862499997951,71.23362349998206,[1],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
11,0.05,0.353972892192069,,,,,71.73908179998398,74.74393140000757,[0],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
12,0.05,0.353972892192069,,,,,75.25606970000081,78.26659899996594,[1],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
13,0.05,0.3154786722400967,,,,,78.77111139998306,81.77543399995193,[0],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
14,0.05,0.3154786722400967,,,,,82.28665929997806,85.29589039995335,[0],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
15,0.05,0.353972892192069,,,,,85.80351549992338,88.806624299963,[0],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
16,0.05,0.353972892192069,,,,,89.31962189998012,92.32982390001416,[1],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
17,0.05,0.3154786722400967,,,,,92.83546600001864,95.84355639992282,[0],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
18,0.05,0.3154786722400967,,,,,96.3515704999445,99.36617029993795,[0],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
19,0.05,0.353972892192069,,,,,99.86966419999953,102.86747759999707,[1],,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
,,,,,,,,,,,183995,001,3,2024-08-15_15h28.54.287,stimuli4,2022.2.5,59.98184946586961,
,,,,,,,,,1,,,,,,,,,
