opt1.thisRepN,opt1.thisTrialN,opt1.thisN,opt1.thisIndex,staircase_loop.thisTrialN,staircase_loop.stepSize,staircase_loop.intensity,opt2.thisRepN,opt2.thisTrialN,opt2.thisN,opt2.thisIndex,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,polygon_2.started,text_4.started,polygon_2.stopped,text_4.stopped,staircase_loop.response,polygon_3.started,polygon_3.stopped,participant,session,stimulus duration,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,39.12042189994827,39.12042189994827,space,2.1934183000121266,,,,,,,,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,0,0.005,0.5,,,,,,,,,46.70520209998358,46.70520209998358,49.712028500041924,49.712028500041924,0,49.712028500041924,53.1624676999636,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,1,0.005,0.505,,,,,,,,,53.1624676999636,53.1624676999636,56.16169290000107,56.16169290000107,0,56.16169290000107,59.56979999993928,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,2,0.005,0.51,,,,,,,,,59.56979999993928,59.56979999993928,62.578463900019415,62.578463900019415,1,62.578463900019415,65.94177739997394,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,3,0.005,0.505,,,,,,,,,65.94177739997394,65.94177739997394,68.94459820003249,68.94459820003249,1,68.94459820003249,72.36772129999008,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,4,0.005,0.5,,,,,,,,,72.36772129999008,72.36772129999008,75.37787640001625,75.37787640001625,0,75.37787640001625,78.83699159999378,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,5,0.005,0.5,,,,,,,,,78.83699159999378,78.83699159999378,81.84444459993392,81.84444459993392,0,81.84444459993392,85.27824579994194,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,6,0.005,0.505,,,,,,,,,85.27824579994194,85.27824579994194,88.27768309996463,88.27768309996463,1,88.27768309996463,91.71366470004432,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,7,0.005,0.5,,,,,,,,,91.71366470004432,91.71366470004432,94.72770479996689,94.72770479996689,1,94.72770479996689,98.20559519995004,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,8,0.005,0.495,,,,,,,,,98.20559519995004,98.20559519995004,101.21064890001435,101.21064890001435,0,101.21064890001435,104.64230850001331,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,9,0.005,0.495,,,,,,,,,104.64230850001331,104.64230850001331,107.64395319996402,107.64395319996402,0,107.64395319996402,110.89638159994502,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,10,0.005,0.5,,,,,,,,,110.89638159994502,110.89638159994502,113.91033420001622,113.91033420001622,1,113.91033420001622,117.5752613999648,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,11,0.005,0.495,,,,,,,,,117.5752613999648,117.5752613999648,120.5766191999428,120.5766191999428,1,120.5766191999428,124.03287590004038,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,12,0.005,0.49,,,,,,,,,124.03287590004038,124.03287590004038,127.04294930002652,127.04294930002652,1,127.04294930002652,130.54974339995533,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,13,0.005,0.485,,,,,,,,,130.54974339995533,130.54974339995533,133.55943659995683,133.55943659995683,0,133.55943659995683,137.0727729999926,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,14,0.005,0.485,,,,,,,,,137.0727729999926,137.0727729999926,140.07623360003345,140.07623360003345,0,140.07623360003345,143.63847879995592,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,15,0.005,0.49,,,,,,,,,143.63847879995592,143.63847879995592,146.64267740002833,146.64267740002833,0,146.64267740002833,150.19296110002324,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,16,0.005,0.49,,,,,,,,,150.19296110002324,150.19296110002324,153.19259859994054,153.19259859994054,1,153.19259859994054,156.71881220000796,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,17,0.005,0.485,,,,,,,,,156.71881220000796,156.71881220000796,159.7257976999972,159.7257976999972,0,159.7257976999972,163.30986779998057,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,18,0.005,0.485,,,,,,,,,163.30986779998057,163.30986779998057,166.30867509997915,166.30867509997915,1,166.30867509997915,169.77167589997407,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,19,0.005,0.48,,,,,,,,,169.77167589997407,169.77167589997407,172.77504770003725,172.77504770003725,1,172.77504770003725,173.27520439994987,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
0,0,0,0,,,,,,,,,,,,,,,,,,,851217,001,3,2024-08-13_15h49.11.043,stimuli4,2022.2.5,60.13507541282904,
